algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,99.5,7.107463682636726,86.44,115.0,48.136,9.680000000000007,94.61999999999999
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,10.568999999999999,2.218776464630901,5.56,13.28,40.97,11.99,55.730000000000004
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,1085.2359999999999,156.54077393446093,734.92,1277.16,2654.5,1058.0,3580.0
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.023,0.0078102496759066544,0.01,0.04,4.0,0.0,40.0
TaxiAlgorithmP2PCollector,0,10000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,10000,10,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,57.376,10.656364483256006,36.98,70.8,51.82899999999999,33.37,72.36999999999999
TaxiAlgorithmP2PCollector,0,10000,10,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,4.347999999999999,0.9455241932388617,2.4,5.48,11.768,5.24,20.150000000000002
TaxiAlgorithmP2PCollector,0,10000,10,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,725.252,89.953926073296,531.76,869.84,1102.7,786.0,1346.0
TaxiAlgorithmP2PCollector,0,10000,10,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.025,0.009219544457292887,0.01,0.04,2.4,0.0,24.0
TaxiAlgorithmP2PCollector,0,10000,10,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,10000,10,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,171.874,17.939400881857786,148.1,199.39,158.794,21.310000000000002,300.46
TaxiAlgorithmP2PCollector,0,10000,10,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,30.310000000000002,8.935818932811921,20.66,50.87,145.794,94.89,292.04
TaxiAlgorithmP2PCollector,0,10000,10,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,2683.9139999999998,510.3673021697217,2196.9,3827.96,8879.1,5490.0,17462.0
TaxiAlgorithmP2PCollector,0,10000,10,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.088,0.005999999999999999,0.08,0.1,25.9,0.0,46.0
TaxiAlgorithmP2PCollector,0,10000,10,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,10000,20,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,108.518,11.68719966459032,93.38,133.43,116.103,58.03999999999999,154.96
TaxiAlgorithmP2PCollector,0,10000,20,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,9.952000000000002,2.619583172949467,4.86,15.04,54.984,16.43,91.81
TaxiAlgorithmP2PCollector,0,10000,20,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,1496.7160000000001,167.19877745964533,1133.58,1786.7,3674.7,2090.0,5307.0
TaxiAlgorithmP2PCollector,0,10000,20,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.266,0.049030602688525056,0.15,0.32,41.5,1.0,65.0
TaxiAlgorithmP2PCollector,0,10000,20,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,10000,20,100,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,354.355,44.79806854095386,282.1,436.38,470.151,196.44,1141.93
TaxiAlgorithmP2PCollector,0,10000,20,100,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,73.63600000000001,14.85104858250757,61.1,107.69,380.71099999999996,209.67,815.99
TaxiAlgorithmP2PCollector,0,10000,20,100,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,6209.991,1011.5943250774988,5376.65,8682.77,23442.8,12908.0,48245.0
TaxiAlgorithmP2PCollector,0,10000,20,100,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.377,0.03001666203960727,0.33,0.43,146.1,101.0,193.0
TaxiAlgorithmP2PCollector,0,10000,20,100,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,20000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,94.24,9.01465140756979,84.25,116.55,55.629,12.670000000000002,81.72999999999999
TaxiAlgorithmP2PCollector,0,20000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,10.032,2.221728156188331,5.6,13.59,36.138999999999996,19.77,57.67
TaxiAlgorithmP2PCollector,0,20000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,1053.32,159.61331072313487,736.68,1276.36,2411.6,1788.0,3495.0
TaxiAlgorithmP2PCollector,0,20000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.027000000000000003,0.009,0.01,0.04,5.0,0.0,50.0
TaxiAlgorithmP2PCollector,0,20000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,20000,10,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,58.975,9.48715895302698,45.49,75.61,68.69899999999998,42.99000000000001,93.04
TaxiAlgorithmP2PCollector,0,20000,10,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,5.282000000000001,1.3241586007725812,3.47,8.31,18.054,7.3,29.490000000000002
TaxiAlgorithmP2PCollector,0,20000,10,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,778.9440000000001,102.50118157367747,598.96,941.64,1427.4,988.0,1927.0
TaxiAlgorithmP2PCollector,0,20000,10,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.043,0.01734935157289747,0.01,0.07,6.1,0.0,32.0
TaxiAlgorithmP2PCollector,0,20000,10,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,20000,10,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,162.496,8.978001113833747,149.29,180.91,93.22399999999999,35.81,183.14
TaxiAlgorithmP2PCollector,0,20000,10,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,26.412,3.6721486898000193,21.01,31.81,102.679,70.60000000000001,137.07
TaxiAlgorithmP2PCollector,0,20000,10,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,2443.7599999999998,242.27627089750243,2057.88,2791.12,6298.5,4164.0,8327.0
TaxiAlgorithmP2PCollector,0,20000,10,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.09,0.007745966692414835,0.08,0.11,19.3,0.0,58.0
TaxiAlgorithmP2PCollector,0,20000,10,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,20000,20,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,102.949,10.53998429790102,93.67,130.86,108.14299999999999,57.47,148.42
TaxiAlgorithmP2PCollector,0,20000,20,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,10.114999999999998,1.0771559775631383,8.24,11.56,41.20100000000001,28.13,57.220000000000006
TaxiAlgorithmP2PCollector,0,20000,20,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,1508.328,81.34012058019094,1329.62,1644.62,3153.6,2341.0,3865.0
TaxiAlgorithmP2PCollector,0,20000,20,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.24699999999999997,0.044283179650969055,0.19,0.32,36.5,1.0,71.0
TaxiAlgorithmP2PCollector,0,20000,20,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,20000,20,100,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,302.683,24.608781379824567,281.37,355.36,176.258,89.46000000000001,391.46000000000004
TaxiAlgorithmP2PCollector,0,20000,20,100,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,61.241,7.156979041467147,52.11,79.47,217.702,175.55,317.85
TaxiAlgorithmP2PCollector,0,20000,20,100,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,5407.835000000001,426.88813860893333,4812.89,6471.07,13869.1,11461.0,19311.0
TaxiAlgorithmP2PCollector,0,20000,20,100,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.333,0.015524174696260022,0.3,0.36,121.8,84.0,185.0
TaxiAlgorithmP2PCollector,0,20000,20,100,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,1,1000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,76.196,35.00422865883492,15.96,142.24,111.577,30.97,169.83999999999997
TaxiAlgorithmP2PCollector,1,1000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,30.773999999999994,16.990998911188242,4.31,62.97,89.995,8.25,275.8
TaxiAlgorithmP2PCollector,1,1000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,6513.648,1675.22327288514,3929.04,8785.64,14929.7,10754.0,17404.0
TaxiAlgorithmP2PCollector,1,1000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.032999999999999995,0.004582575694955841,0.03,0.04,16.3,0.0,41.0
TaxiAlgorithmP2PCollector,1,1000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,1,1000,10,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,72.938,12.875111494662871,43.95,90.39,173.10700000000003,110.45,229.07
TaxiAlgorithmP2PCollector,1,1000,10,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,35.954,8.442076995621395,20.79,46.98,118.03200000000001,81.19,186.27
TaxiAlgorithmP2PCollector,1,1000,10,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,4921.972,1486.5682876800513,3046.64,8085.24,14471.5,10903.0,17512.0
TaxiAlgorithmP2PCollector,1,1000,10,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.10799999999999998,0.005999999999999996,0.1,0.12,45.1,20.0,63.0
