taxiCount,clientCount,taxiSeatCount,spawnScenario,worldSeed,effectAtModeratorFrom,effectAtModeratorTo,interaction,moderation,factor,factorFrom,factorTo,moderator,moderatorFrom,moderatorTo,outcome,effectScale,scope
1685.0,27762.0,1.0,RUSH_HOUR,1,25.60884194973665,39.23672525342632,13.627883303689671,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,RUSH_HOUR,2,23.816002347238086,48.26528110985966,24.44927876262157,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,RUSH_HOUR,3,15.69441905942428,41.094124735316996,25.399705675892715,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,RUSH_HOUR,4,17.86112098388921,42.213652211604426,24.352531227715215,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,RUSH_HOUR,5,14.037713930918706,45.0419483082392,31.004234377320493,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,RUSH_HOUR,6,14.21758922687597,39.39108416154793,25.173494934671957,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,RUSH_HOUR,7,38.09774562025707,42.89292663499311,4.795181014736038,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,RUSH_HOUR,8,29.346234046260868,46.22697572470864,16.88074167844777,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,RUSH_HOUR,9,11.356873649524047,37.960134044737124,26.603260395213077,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,0,-97.8101920885932,-94.66931393221569,3.1408781563775108,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,1,-97.61387597831225,-94.5566074735577,3.0572685047545463,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,2,-97.84989722054563,-94.63936920564471,3.210528014900916,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,3,-97.62678614292784,-94.57469395979285,3.052092183134988,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,4,-97.80962903337634,-94.68943877183771,3.1201902615386246,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,5,-97.66249774716842,-94.61697145627299,3.045526290895424,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,6,-97.85146701080797,-94.6616301362547,3.189836874553265,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,7,-97.47326609312198,-94.52260456563731,2.9506615274846695,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,8,-97.4589557364458,-94.45806113002077,3.0008946064250352,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,9,-97.72989540534253,-94.6300753876062,3.0998200177363344,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_ISLANDS,0,-75.09140057351,-93.2922448562684,-18.200844282758396,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_ISLANDS,1,-74.11447943018,-93.04749012954645,-18.93301069936645,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_ISLANDS,2,-73.83367848163469,-92.28844626754697,-18.45476778591228,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_ISLANDS,3,-73.74729869538106,-91.50168386147595,-17.75438516609489,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_ISLANDS,4,-73.71217796786081,-93.68118210618665,-19.969004138325843,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_ISLANDS,5,-73.99945605502582,-93.91721043707193,-19.917754382046112,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_ISLANDS,6,-73.33503743592406,-91.84865798717478,-18.51362055125071,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_ISLANDS,7,-74.69650216624937,-92.79134103114043,-18.09483886489106,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_ISLANDS,8,-74.36228526009224,-92.40442547612219,-18.04214021602995,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,SPATIAL_ISLANDS,9,-74.287645387019,-92.1622650056442,-17.874619618625204,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,BASELINE,0,4.858934169278983,0.0,-4.858934169278983,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,BASELINE,1,2.7298850574712596,0.0,-2.7298850574712596,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,BASELINE,2,3.709508881922685,0.0,-3.709508881922685,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,BASELINE,3,3.7878787878787956,0.0,-3.7878787878787956,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,BASELINE,4,3.369905956112862,0.0,-3.369905956112862,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,BASELINE,5,5.721003134796243,0.0,-5.721003134796243,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,BASELINE,6,2.285788923719956,0.0,-2.285788923719956,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,BASELINE,7,4.33646812957158,0.0,-4.33646812957158,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,BASELINE,8,4.584639498432608,0.026123301985370162,-4.558516196447238,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,BASELINE,9,2.4033437826541326,0.0,-2.4033437826541326,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,RUSH_HOUR,0,4.754440961337503,0.052246603970740324,-4.702194357366762,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,RUSH_HOUR,1,2.8213166144200663,0.0,-2.8213166144200663,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,RUSH_HOUR,2,5.067920585161955,0.0,-5.067920585161955,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,RUSH_HOUR,3,1.4759665621734586,0.0,-1.4759665621734586,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,RUSH_HOUR,4,2.6645768025078453,0.0,-2.6645768025078453,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,RUSH_HOUR,5,6.570010449320796,0.0,-6.570010449320796,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,RUSH_HOUR,6,3.4482758620689724,0.0,-3.4482758620689724,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,RUSH_HOUR,7,3.3045977011494143,0.0,-3.3045977011494143,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,RUSH_HOUR,8,1.580459770114928,0.0,-1.580459770114928,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,RUSH_HOUR,9,4.7283176593521326,0.0,-4.7283176593521326,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,0,31.008359456635326,0.0,-31.008359456635326,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,1,27.951933124346915,0.0,-27.951933124346915,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,2,29.89811912225704,0.0,-29.89811912225704,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
