taxiCount,clientCount,taxiSeatCount,spawnScenario,moderation,factor,factorFrom,factorTo,moderator,moderatorFrom,moderatorTo,outcome,effectScale,scope,seeds,effectAtModeratorFromMean,effectAtModeratorToMean,interactionMean,interactionStd,ci95Low,ci95High,sameDirectionSeeds,pValue,pValueHolm
39.0,638.0,1.0,RUSH_HOUR,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,0.15282131661441656,-0.0015673981191210995,-0.15438871473353766,0.28664417312029705,-0.35944160353645943,0.050664174069384116,6,0.12272686603599035,1.0
39.0,638.0,1.0,RUSH_HOUR,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-1.080928299631394,0.18418509276595496,1.265113392397349,1.7409389594006675,0.019720684885927264,2.5105060999087705,7,0.04715512597198772,0.9902576454117421
39.0,638.0,1.0,RUSH_HOUR,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,91.40845064801938,8.382048964900923,-83.02640168311845,11.080493538232314,-90.95290925745212,-75.09989410878478,10,2.0262826495175136e-09,9.523528452732314e-08
39.0,638.0,1.0,RUSH_HOUR,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,3.6415882967607076,0.005224660397074032,-3.636363636363633,1.6204310402362203,-4.795550171674483,-2.477177101052783,10,5.689384494698489e-05,0.0018206030383035165
39.0,638.0,1.0,RUSH_HOUR,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-48.76785697162149,-0.41146172057847874,48.356395251043,11.13646134583819,40.389850719025446,56.32293978306055,10,2.424587849048421e-07,1.042572775090821e-05
39.0,638.0,1.0,RUSH_HOUR,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,distance,relative percent,city-scenario,10,0.0,0.18090093818202257,0.18090093818202257,0.2868565078744269,-0.024303845753647357,0.3861057221176925,7,0.07726764866426739,1.0
39.0,638.0,1.0,RUSH_HOUR,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,pickup,percentage points,city-scenario,10,0.0,0.034482758620687504,0.034482758620687504,0.07282109595233911,-0.017610315270457838,0.08657583251183285,5,0.16850686372579823,1.0
39.0,638.0,1.0,RUSH_HOUR,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,waiting,relative percent,city-scenario,10,0.0,-0.33353909574635027,-0.33353909574635027,0.5395029572663815,-0.7194762620279886,0.052398070535288055,8,0.08229937712858419,1.0
39.0,638.0,1.0,SPATIAL_IMBALANCE,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,-0.53489401667275,0.17852679634390856,0.7134208130166586,0.8139510908807779,0.1311552790183511,1.295686347014966,8,0.021692846882306875,0.4989354782930581
39.0,638.0,1.0,SPATIAL_IMBALANCE,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,0.04702194357366518,0.0,-0.04702194357366518,0.2618071017004674,-0.23430746181188622,0.14026357466455586,6,0.5839501319933041,1.0
