metric,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,runs,avgMean,avgStd,avgMin,avgMax,countMean,countMin,countMax,spreadMean,spreadStd,communicationTimeMillisMean,rawRows,servedRatioMean
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,True,past-avg,past-avg,10,0.005,0.0004714045207910316,0.004,0.006,87237.8,86884,87884,9.9,20.63142155925169,0.00011679999999999999,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0073999999999999995,0.001955050439815357,0.005,0.011,87158.1,86764,87592,35.6,37.23558632395748,9.93e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.0053,0.0004830458915396481,0.005,0.006,87150.9,86818,87501,17.4,27.358524976483817,0.0001191,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,True,random,random,10,0.0049,0.00031622776601683794,0.004,0.005,87149.2,86818,87514,9.1,11.637582795981878,0.0001214,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,False,none,none,10,0.0066,0.0011737877907772667,0.005,0.009,87147.7,86791,87501,10.2,8.778762251403478,9.439999999999999e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,True,past-avg,past-avg,10,0.005200000000000001,0.0006324555320336759,0.004,0.006,87237.8,86884,87884,17.8,22.991785972869142,0.00011219999999999999,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0072,0.0018135294011647257,0.005,0.011,87158.1,86764,87592,42.2,35.94069188723741,0.00010109999999999999,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0053,0.0004830458915396479,0.005,0.006,87150.9,86818,87501,29.6,29.747829052442356,0.00011570000000000001,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,True,random,random,10,0.0049,0.0005676462121975463,0.004,0.006,87149.2,86818,87514,12.7,11.12604551891142,0.0001158,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,False,none,none,10,0.0063,0.001418136492412176,0.005,0.009,87147.7,86791,87501,9.7,11.116054455905957,9.91e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,True,past-avg,past-avg,10,0.0053,0.00048304589153964786,0.005,0.006,87237.8,86884,87884,13.7,22.070845525765936,0.0001206,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0073999999999999995,0.002170509412813294,0.005,0.012,87158.1,86764,87592,41.7,35.29888257595573,9.730000000000001e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.0053,0.0006749485577105528,0.004,0.006,87150.9,86818,87501,34.4,29.23924303625751,0.0001114,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,True,random,random,10,0.0048000000000000004,0.000421637021355784,0.004,0.005,87149.2,86818,87514,2.4,6.899275324264136,0.0001163,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,False,none,none,10,0.006900000000000001,0.0011972189997378644,0.005,0.009,87147.7,86791,87501,9.2,11.68855090343633,9.790000000000001e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,True,past-avg,past-avg,10,0.0053,0.0004830458915396479,0.005,0.006,87237.8,86884,87884,13.7,21.390807994712745,0.0001186,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.007299999999999999,0.002002775851439974,0.005,0.012,87158.1,86764,87592,31.7,40.64767316013714,9.92e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0049,0.0005676462121975467,0.004,0.006,87150.9,86818,87501,10.9,22.457119633252663,0.0001106,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,True,random,random,10,0.0048000000000000004,0.0004216370213557839,0.004,0.005,87149.2,86818,87514,5.4,8.859395514869448,0.00011589999999999998,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,False,none,none,10,0.0068000000000000005,0.0013165611772087663,0.005,0.009,87147.7,86791,87501,4.5,8.98455464796237,9.23e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,True,past-avg,past-avg,10,0.0051,0.0007378647873726217,0.004,0.006,87237.8,86884,87884,15.2,23.35142156034379,0.0001095,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.007299999999999999,0.0021108186931983416,0.005,0.012,87158.1,86764,87592,28.8,36.33730865102697,9.750000000000001e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.0053,0.0004830458915396481,0.005,0.006,87150.9,86818,87501,22.4,28.945158873673886,0.00010989999999999999,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,True,random,random,10,0.0048000000000000004,0.00042163702135578394,0.004,0.005,87149.2,86818,87514,2.5,6.536223850375858,0.0001107,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,False,none,none,10,0.0045,0.00052704627669473,0.004,0.005,87187.7,86818,87501,14.4,13.696714934611146,0.0001497,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,True,past-avg,past-avg,10,0.004399999999999999,0.0005163977794943223,0.004,0.005,87226.2,86952,87501,5.9,17.278438715475552,0.0001725,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0047,0.0008232726023485646,0.004,0.006,87198.2,86833,87600,24.1,37.69600627240091,0.000164,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0047,0.000674948557710553,0.004,0.006,87227.2,86833,87529,26.0,33.579094025234745,0.00016869999999999998,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,True,random,random,10,0.0048000000000000004,0.00042163702135578394,0.004,0.005,87215.7,86850,87459,10.0,12.701705922171767,0.00016380000000000002,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,False,none,none,10,0.0047,0.00048304589153964786,0.004,0.005,87187.7,86818,87501,9.7,12.320263344948795,0.00016,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,True,past-avg,past-avg,10,0.004200000000000001,0.0004216370213557841,0.004,0.005,87226.2,86952,87501,4.9,15.49516053482506,0.00016869999999999998,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0053,0.0006749485577105528,0.004,0.006,87198.2,86833,87600,35.3,44.17402454434557,0.0001675,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.0048000000000000004,0.00042163702135578383,0.004,0.005,87227.2,86833,87529,11.9,24.05295084692197,0.00017680000000000001,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,True,random,random,10,0.0045,0.0005270462766947298,0.004,0.005,87215.7,86850,87459,13.9,14.685215543380885,0.0002006,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,False,none,none,10,0.0045,0.0005270462766947299,0.004,0.005,87187.7,86818,87501,15.5,15.756832733064654,0.000154,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,True,past-avg,past-avg,10,0.0047,0.000674948557710553,0.004,0.006,87226.2,86952,87501,9.8,20.660214046433417,0.0001699,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0049,0.0007378647873726216,0.004,0.006,87198.2,86833,87600,42.6,53.03080865559818,0.0001602,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0046,0.0005163977794943223,0.004,0.005,87227.2,86833,87529,19.5,31.401521548414745,0.0002477,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,True,random,random,10,0.0041,0.00031622776601683826,0.004,0.005,87215.7,86850,87459,2.7,7.5432088662584444,0.0001563,10,
