taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,seeds,deltaPctMean,deltaPctStd,metric,deltaPctCi95Half
39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,past-avg-total,10,61.79943094082167,9.614029126961874,waiting,6.8774621303452275
39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,random,10,58.26346502498747,8.882091023692283,waiting,6.3538651534153185
39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,none,10,75.64825356018535,9.7123210353485,waiting,6.9477759258123735
39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,past-avg,10,61.98190760308705,11.492833456677607,waiting,8.22147778260817
39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,past-avg-revisit,10,73.39635226714093,7.743565977253114,waiting,5.539413398804364
39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,past-avg-total,10,61.79943094082167,9.614029126961874,waiting,6.8774621303452275
39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,random,10,58.26346502498747,8.882091023692283,waiting,6.3538651534153185
39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,none,10,75.64825356018535,9.7123210353485,waiting,6.9477759258123735
39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,past-avg,10,61.98190760308705,11.492833456677607,waiting,8.22147778260817
39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,past-avg-revisit,10,73.39635226714093,7.743565977253114,waiting,5.539413398804364
39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,past-avg-total,10,61.79943094082167,9.614029126961874,waiting,6.8774621303452275
39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,random,10,58.26346502498747,8.882091023692283,waiting,6.3538651534153185
39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,none,10,75.64825356018535,9.7123210353485,waiting,6.9477759258123735
39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,past-avg,10,61.98190760308705,11.492833456677607,waiting,8.22147778260817
39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,past-avg-revisit,10,73.39635226714093,7.743565977253114,waiting,5.539413398804364
39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,past-avg-total,10,61.79943094082167,9.614029126961874,waiting,6.8774621303452275
39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,random,10,58.26346502498747,8.882091023692283,waiting,6.3538651534153185
39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,none,10,75.64825356018535,9.7123210353485,waiting,6.9477759258123735
39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,past-avg,10,61.98190760308705,11.492833456677607,waiting,8.22147778260817
39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,past-avg-revisit,10,73.39635226714093,7.743565977253114,waiting,5.539413398804364
39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,past-avg-total,10,61.79943094082167,9.614029126961874,waiting,6.8774621303452275
39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,random,10,58.26346502498747,8.882091023692283,waiting,6.3538651534153185
39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,none,10,75.64825356018535,9.7123210353485,waiting,6.9477759258123735
39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,past-avg,10,61.98190760308705,11.492833456677607,waiting,8.22147778260817
39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,past-avg-revisit,10,73.39635226714093,7.743565977253114,waiting,5.539413398804364
39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,past-avg-total,10,61.79943094082167,9.614029126961874,waiting,6.8774621303452275
39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,random,10,58.26346502498747,8.882091023692283,waiting,6.3538651534153185
39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,none,10,129.59230321130744,16.28703635632307,waiting,11.651043935578878
39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,past-avg,10,127.38878776396946,17.892711748699632,waiting,12.799674916290991
39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,past-avg-revisit,10,127.6503862067575,16.35409519256652,waiting,11.699014937193171
39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,past-avg-total,10,127.54938119523561,16.126700181674412,waiting,11.536346345764207
39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,random,10,125.63681836141889,15.566361690145984,waiting,11.135504336158258
39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,none,10,129.59230321130744,16.28703635632307,waiting,11.651043935578878
39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,past-avg,10,127.38878776396946,17.892711748699632,waiting,12.799674916290991
39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,past-avg-revisit,10,127.6503862067575,16.35409519256652,waiting,11.699014937193171
39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,past-avg-total,10,127.54938119523561,16.126700181674412,waiting,11.536346345764207
39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,random,10,125.63681836141889,15.566361690145984,waiting,11.135504336158258
39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,none,10,129.59230321130744,16.28703635632307,waiting,11.651043935578878
39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,past-avg,10,127.38878776396946,17.892711748699632,waiting,12.799674916290991
39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,past-avg-revisit,10,127.6503862067575,16.35409519256652,waiting,11.699014937193171
39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,past-avg-total,10,127.54938119523561,16.126700181674412,waiting,11.536346345764207
39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,random,10,125.63681836141889,15.566361690145984,waiting,11.135504336158258
39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,2000,none,10,129.59230321130744,16.28703635632307,waiting,11.651043935578878
39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,2000,past-avg,10,127.38878776396946,17.892711748699632,waiting,12.799674916290991
39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,2000,past-avg-revisit,10,127.6503862067575,16.35409519256652,waiting,11.699014937193171
39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,2000,past-avg-total,10,127.54938119523561,16.126700181674412,waiting,11.536346345764207
39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,2000,random,10,125.63681836141889,15.566361690145984,waiting,11.135504336158258
39,638,1,BASELINE,0,15,3000,nearest,0,4,0,1,2000,none,10,129.59230321130744,16.28703635632307,waiting,11.651043935578878
39,638,1,BASELINE,0,15,3000,nearest,0,4,0,1,2000,past-avg,10,127.38878776396946,17.892711748699632,waiting,12.799674916290991
39,638,1,BASELINE,0,15,3000,nearest,0,4,0,1,2000,past-avg-revisit,10,127.6503862067575,16.35409519256652,waiting,11.699014937193171
39,638,1,BASELINE,0,15,3000,nearest,0,4,0,1,2000,past-avg-total,10,127.54938119523561,16.126700181674412,waiting,11.536346345764207
39,638,1,BASELINE,0,15,3000,nearest,0,4,0,1,2000,random,10,125.63681836141889,15.566361690145984,waiting,11.135504336158258
39,638,1,BASELINE,0,15,3000,nearest,0,4,1,1,2000,none,10,129.59230321130744,16.28703635632307,waiting,11.651043935578878
39,638,1,BASELINE,0,15,3000,nearest,0,4,1,1,2000,past-avg,10,127.38878776396946,17.892711748699632,waiting,12.799674916290991
39,638,1,BASELINE,0,15,3000,nearest,0,4,1,1,2000,past-avg-revisit,10,127.6503862067575,16.35409519256652,waiting,11.699014937193171
39,638,1,BASELINE,0,15,3000,nearest,0,4,1,1,2000,past-avg-total,10,127.54938119523561,16.126700181674412,waiting,11.536346345764207
39,638,1,BASELINE,0,15,3000,nearest,0,4,1,1,2000,random,10,125.63681836141889,15.566361690145984,waiting,11.135504336158258
