rank,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,groups,groupsWithin5,groupsWithin5WithTravel,meanWaitingDeltaPct,worstWaitingDeltaPct,meanDistanceDeltaPct,worstDistanceDeltaPct,meanTravelDeltaPct,worstTravelDeltaPct,worstPickupGapPoints,worstReferenceDeltaPct
55,2,15,3000,nearest,0,4,1,1,2000,random,8,0,0,95.67125264636121,219.35108713996146,63.326875455899156,147.36093735632534,15.006052239327403,58.4845003954735,3.9399178733520612,219.35108713996146
56,2,15,3000,nearest,1,4,1,1,2000,random,8,0,0,95.6570391165348,219.35108713996146,63.335341863673385,147.36093735632534,15.004075411311419,58.4845003954735,3.9399178733520612,219.35108713996146
57,1,15,3000,greedy,0,4,0,1,2000,past-avg,8,1,1,76.51089937369676,223.32346828045326,11.640317337948103,34.41411459714172,9.868991197002927,60.72898776034694,4.168287587349617,223.32346828045326
58,1,15,3000,nearest,1,4,0,1,2000,past-avg,8,1,1,76.5219976391174,223.38159271845709,11.635630431143905,34.41411459714172,9.864108034091716,60.740169560686155,4.144874288595924,223.38159271845709
59,1,15,3000,nearest,0,4,0,1,2000,past-avg,8,1,1,76.51881130235596,223.38617373151862,11.634651402518786,34.41411459714172,9.861876786449983,60.74219786991737,4.1380304012679225,223.38617373151862
60,1,15,3000,greedy,1,4,0,1,2000,past-avg,8,1,1,76.53901141713692,223.54830077298925,11.638413447066528,34.41411459714172,9.877496565703073,60.792130070698526,4.167567178157194,223.54830077298925
61,2,15,3000,greedy,0,4,0,1,2000,past-avg,8,1,1,75.96421526178555,224.01080593870896,11.661258929726507,34.425100713661095,9.694198651840852,59.734538318042496,4.090123189971906,224.01080593870896
62,2,15,3000,greedy,1,4,0,1,2000,past-avg,8,1,1,75.9650839074379,224.01080593870896,11.65964391127512,34.425100713661095,9.694692530522893,59.747748427612926,4.102370146243073,224.01080593870896
63,2,15,3000,nearest,0,4,0,1,2000,past-avg,8,1,1,76.15319555427166,224.15537461262684,11.62253375096678,34.41753425804699,9.74670446447141,60.05210293907977,4.0894027807794835,224.15537461262684
64,2,15,3000,nearest,1,4,0,1,2000,past-avg,8,1,1,76.13424679198542,224.15537461262684,11.6272423061779,34.41753425804699,9.740068251654998,60.02196166734179,4.084359916432534,224.15537461262684
