taxiCount,clientCount,taxiSeatCount,spawnScenario,level,waitingAvgMean,travelAvgMean,distanceAvgMean,servedRatio,calculationAvgMean,communicationAvgMean,kmPerServedClient,calculationMsPerServedClient,pickupPct,communicationSharePct,normalizedWaitingIndex,factor
39,638,1,SPATIAL_ISLANDS,3000,4.276762166666667,11.697948361111111,98.59505327333333,0.9985841170323929,0.007188333333333334,0.17921916666666665,6.0349538282467305,0.9840524907766957,99.8584117032393,2.4931949918849985,0.5443204114698904,p2pRqsRadius
1685,27762,1,BASELINE,1000,4.496504958333333,35.485453750000005,395.788415985,0.9986821914847633,5.296764166666667,337.137505,24.050072848434656,17.947354358174188,99.86821914847633,6.364971034988813,1.1564910581282934,p2pRqsRadius
1685,27762,1,BASELINE,2000,3.009499111111111,34.37234145833334,410.34255519916667,0.9999463295151646,3.6842975,386.45430666666664,24.90668032223024,12.046619427105279,99.99463295151646,10.48922641742874,0.7740364669218797,p2pRqsRadius
1685,27762,1,BASELINE,3000,4.158171611111111,35.55351238888889,416.65682566833334,0.9999973584996279,2.8825008333333333,511.40326166666665,25.288823700596723,9.416677510648457,99.99973584996279,17.74165182374911,1.0694724749498272,p2pRqsRadius
1685,27762,1,RUSH_HOUR,1000,20.153268375,50.00417993055556,325.517125925,0.978932323559782,5.958235,635.5628833333334,20.140631595603548,22.38583823855711,97.8932323559782,10.666965692580662,1.1298688744312788,p2pRqsRadius
1685,27762,1,RUSH_HOUR,2000,16.416307416666665,46.26575101388889,327.9969715341667,0.9888867576783613,6.1569183333333335,1902.9742816666667,20.128265778018864,20.90361759822007,98.88867576783613,30.907901950948947,0.9203606302487409,p2pRqsRadius
1685,27762,1,RUSH_HOUR,3000,16.940885902777776,46.852619680555556,336.14126075166666,0.9898282124246571,7.967884166666667,4509.5817625,20.61104394460384,26.49954198111692,98.98282124246572,56.596979426052144,0.9497704953199803,p2pRqsRadius
1685,27762,1,SPATIAL_IMBALANCE,1000,55.08197827777778,81.678815,345.58258456916667,0.8046374840909637,6.667495833333334,322.5623758333333,23.766525590657253,33.61028513892084,80.46374840909637,4.8378339319047186,1.125507043321825,p2pRqsRadius
1685,27762,1,SPATIAL_IMBALANCE,2000,48.742221666666666,73.19244287500001,364.3050042258334,0.8666127560454339,6.0543825,1009.6634725,24.211346088024847,27.314718216613432,86.66127560454339,16.676572259846484,0.9959648420093065,p2pRqsRadius
1685,27762,1,SPATIAL_IMBALANCE,3000,42.99490333333333,67.07051358333334,374.04954505250004,0.9044300062435463,7.2813025,2547.0568599999997,24.299517077085895,29.806442070328913,90.44300062435462,34.980786198623115,0.8785281146688685,p2pRqsRadius
