series,selectedConfig,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,runIndex,worldSeed,tickBlock,servedRequestsSum,finishedRequestsSum,waitingTimeSum,waitingTimeCount,rows,activeClientsMean,servedRequestsMean,finishedRequestsMean,calcTimeMillisMean,waitingTimeAvg
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,12,4,4,4.85,4,1,3.0,4.0,4.0,0.002253,1.2125
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,13,4,3,4.616666666666666,4,1,1.0,4.0,3.0,0.002228,1.1541666666666666
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,14,13,9,22.833333333333332,13,1,6.0,13.0,9.0,0.002704,1.7564102564102564
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,15,9,11,15.516666666666667,9,1,6.0,9.0,11.0,0.00232,1.724074074074074
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,16,3,8,4.716666666666667,3,1,2.0,3.0,8.0,0.002287,1.5722222222222222
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,17,7,4,7.566666666666666,7,1,4.0,7.0,4.0,0.002446,1.0809523809523809
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,18,7,6,9.933333333333334,7,1,3.0,7.0,6.0,0.003203,1.4190476190476191
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,19,7,9,17.866666666666667,7,1,5.0,7.0,9.0,0.00306,2.5523809523809526
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,20,9,8,14.566666666666666,9,1,4.0,9.0,8.0,0.003043,1.6185185185185185
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,21,8,8,12.966666666666667,8,1,5.0,8.0,8.0,0.002825,1.6208333333333333
