taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pOverlayShortcuts,waitingAvgMean,travelAvgMean,distanceAvgMean,servedRatio,calculationAvgMean,communicationAvgMean,kmPerServedClient,calculationMsPerServedClient,pickupPct,communicationSharePct
1685,27762,1,BASELINE,0,1,3.8996626666666665,35.14551644444444,407.4922057,0.9995230891146172,3.466188333333333,335.58997833333336,24.742591446847026,11.51944602499797,99.95230891146171,9.681816048656716
1685,27762,1,BASELINE,1,0,3.8976466666666667,35.14364822222222,407.41082479333335,0.9995287923540571,4.1148766666666665,426.2524133333334,24.73755990584773,13.671789687694636,99.95287923540572,10.358813832411341
1685,27762,1,BASELINE,1,1,3.8774549166666668,35.12994508333333,407.85743326,0.9995559277669717,4.1486350000000005,441.81828,24.764144104272916,13.784339220028578,99.95559277669716,10.649726476298829
1685,27762,1,BASELINE,2,0,3.8935980277777777,35.14042697222222,407.25319793166665,0.9995320942295224,4.23198,450.43678166666666,24.727945037270093,14.056344725099859,99.95320942295224,10.643641549975818
1685,27762,1,BASELINE,2,1,3.8603264166666666,35.11756202777778,408.06972632,0.9995887664193261,4.257735,481.8623183333333,24.776357202431026,14.132326007331237,99.95887664193262,11.317339344354059
1685,27762,1,RUSH_HOUR,0,0,18.304462722222222,48.21112044444444,328.29897127333334,0.9844858679730086,4.659633333333333,484.502885,20.22011968481212,16.521418506198778,98.44858679730086,10.397875762756726
1685,27762,1,RUSH_HOUR,0,1,18.304462722222222,48.21112044444444,328.29897127333334,0.9844858679730086,4.693861666666667,533.5827283333333,20.22011968481212,16.626271543159742,98.44858679730086,11.367670507261789
1685,27762,1,RUSH_HOUR,1,0,18.078675861111112,47.95699944444445,328.91894768833333,0.9851751194678577,5.976586666666666,1461.06807,20.247040467125075,20.925342348609004,98.51751194678577,24.446530293768575
1685,27762,1,RUSH_HOUR,1,1,17.463491555555557,47.31769602777778,330.76955157833333,0.9868566745911678,6.483293333333333,2042.0707083333332,20.32995832914576,22.53300533371287,98.68566745911677,31.49742890444568
1685,27762,1,RUSH_HOUR,2,0,17.94566763888889,47.80496322222222,329.4282489366667,0.9855831112071657,7.2323216666666665,2768.8600233333336,20.271774311105396,25.157780275939015,98.55831112071657,38.284525370253405
1685,27762,1,RUSH_HOUR,2,1,16.92416288888889,46.743201666666664,333.5960256716667,0.9887079461133924,11.120378333333333,6806.15344,20.47087238929306,37.81120816935856,98.87079461133924,61.20433348565629
1685,27762,1,SPATIAL_IMBALANCE,0,0,51.856972222222225,77.30204761111112,353.86503910666664,0.8380278798357467,5.330995,389.76613,23.843198547556465,25.750527309187376,83.80278798357466,7.311320494579341
1685,27762,1,SPATIAL_IMBALANCE,0,1,51.856972222222225,77.30204761111112,353.86503910666664,0.8380278798357467,5.343663333333334,433.5965083333333,23.843198547556465,25.758853440103344,83.80278798357466,8.11421830467114
1685,27762,1,SPATIAL_IMBALANCE,1,0,51.17591825,76.39214852777778,355.6158585316667,0.8443345820426003,6.652175,1039.8335533333334,23.89738421131889,31.340030167454746,84.43345820426002,15.63148223450726
1685,27762,1,SPATIAL_IMBALANCE,1,1,47.59672225,72.21779683333332,365.7809487833334,0.872123286026463,6.929526666666666,1349.0953516666666,24.258669779056486,30.51292272191234,87.21232860264631,19.468795150991554
1685,27762,1,SPATIAL_IMBALANCE,2,0,50.47632622222223,75.56711263888889,357.13106786000003,0.8496621881228538,7.578448333333333,1819.0495266666667,23.940864974312873,35.242732924717096,84.96621881228538,24.002928391893764
1685,27762,1,SPATIAL_IMBALANCE,2,1,40.67529538888889,65.10238969444444,381.6163143066667,0.9091846768964772,8.171553333333334,2727.224346666667,24.771362286211986,32.85434177484978,90.91846768964771,33.37461355776503
1685,27762,1,SPATIAL_ISLANDS,0,0,84.00524055555556,112.70075655555554,327.91519908666663,0.7610866171985687,6.756396666666666,311.355105,22.957084935462504,39.091808316207604,76.10866171985687,4.608301145729059
1685,27762,1,SPATIAL_ISLANDS,0,1,84.00524055555556,112.70075655555554,327.91519908666663,0.7610866171985687,6.766021666666666,342.85583,22.957084935462504,39.138565226114345,76.10866171985687,5.067317943853269
1685,27762,1,SPATIAL_ISLANDS,1,0,83.30123261111112,111.84482805555555,329.566658045,0.7665530821506615,8.568958333333335,1120.831635,23.021141035743128,47.69761656862743,76.65530821506616,13.080138698305413
1685,27762,1,SPATIAL_ISLANDS,1,1,76.12064547222222,103.27182858333335,347.9575813533333,0.8161125519294959,8.812051666666667,1549.8689116666667,23.70528727846622,43.564542993364384,81.6112551929496,17.58805974242472
1685,27762,1,SPATIAL_ISLANDS,2,0,82.49649436111112,110.97028352777778,331.12180431666667,0.7713529284633672,9.907729999999999,2253.7438666666667,23.089588487129593,53.749441699055964,77.13529284633672,22.747328264563794
1685,27762,1,SPATIAL_ISLANDS,2,1,60.19359513888889,86.80597897222222,381.69542652166666,0.8844184496794179,10.544693333333333,3747.7265316666667,24.98025507751873,44.827813074815715,88.44184496794179,35.541351589804414
