algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRqsRadius,p2pStrategy,p2pOverlayShortcuts,idleRoamingMode,requests,finished,waitMax,completionRatio,waitMean,travelMean
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,greedy,1,past-avg-total,12732,12732,52.46666666666667,1.0,2.4647162006492827,10.080929940307886
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,greedy,1,random,12752,12752,15.966666666666667,1.0,2.0028126306984526,9.67564303638645
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,nearest,0,none,12246,12246,98.58333333333333,1.0,6.180566443464532,13.433586477217052
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,nearest,0,past-avg,12713,12713,52.766666666666666,1.0,2.58259655470778,10.191285822910931
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,nearest,0,past-avg-revisit,12249,12249,98.58333333333333,1.0,6.114711405012654,13.37523607369309
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,nearest,0,past-avg-total,12731,12731,52.46666666666667,1.0,2.455566465059042,10.072481868405205
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,nearest,0,random,12754,12754,15.766666666666667,1.0,1.994427891903194,9.666358266687576
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,nearest,1,none,12252,12252,98.58333333333333,1.0,6.142606649254543,13.401086897377299
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,nearest,1,past-avg,12717,12717,52.766666666666666,1.0,2.574294251788944,10.18224423999371
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,nearest,1,past-avg-revisit,12259,12259,99.33333333333333,1.0,6.07042309051853,13.33488185550752
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,nearest,1,past-avg-total,12732,12732,52.46666666666667,1.0,2.4647162006492827,10.080929940307886
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,nearest,1,random,12752,12752,15.966666666666667,1.0,2.0028126306984526,9.67564303638645
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,greedy,0,none,12738,12738,46.85,1.0,2.9995917726487678,10.708101742816767
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,greedy,0,past-avg,12756,12756,19.883333333333333,1.0,2.7603193268527226,10.498400752587019
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,greedy,0,past-avg-revisit,12736,12736,39.166666666666664,1.0,2.96047293760469,10.67445692001675
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,greedy,0,past-avg-total,12760,12760,33.21666666666667,1.0,2.743415621734587,10.48140935214211
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,greedy,0,random,12760,12760,15.733333333333333,1.0,2.7049203239289445,10.444831504702194
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,greedy,1,none,12740,12740,57.483333333333334,1.0,2.9714416535845105,10.68361852433281
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,greedy,1,past-avg,12760,12760,21.6,1.0,2.7592319749216303,10.494477533960293
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,greedy,1,past-avg-revisit,12740,12740,37.43333333333333,1.0,2.949123495552067,10.662791732077446
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,greedy,1,past-avg-total,12760,12760,33.21666666666667,1.0,2.7603134796238242,10.497029780564263
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,greedy,1,random,12760,12760,15.733333333333333,1.0,2.7094292058516194,10.44916013584117
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,nearest,0,none,12738,12738,46.85,1.0,2.9995917726487678,10.708101742816767
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,nearest,0,past-avg,12756,12756,19.883333333333333,1.0,2.7603193268527226,10.498400752587019
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,nearest,0,past-avg-revisit,12736,12736,39.166666666666664,1.0,2.96047293760469,10.67445692001675
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,nearest,0,past-avg-total,12760,12760,33.21666666666667,1.0,2.743415621734587,10.48140935214211
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,nearest,0,random,12760,12760,15.733333333333333,1.0,2.7049203239289445,10.444831504702194
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,nearest,1,none,12740,12740,57.483333333333334,1.0,2.9714416535845105,10.68361852433281
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,nearest,1,past-avg,12760,12760,21.6,1.0,2.7592319749216303,10.494477533960293
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,nearest,1,past-avg-revisit,12740,12740,37.43333333333333,1.0,2.949123495552067,10.662791732077446
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,nearest,1,past-avg-total,12760,12760,33.21666666666667,1.0,2.7603134796238242,10.497029780564263
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,2000,nearest,1,random,12760,12760,15.733333333333333,1.0,2.7094292058516194,10.44916013584117
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,greedy,0,none,12760,12760,24.733333333333334,1.0,3.9075940438871473,11.652102925809823
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,greedy,0,past-avg,12760,12760,9.6,1.0,3.8963740856844304,11.642750783699059
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,greedy,0,past-avg-revisit,12758,12758,26.383333333333333,1.0,3.8999085541098397,11.644730103987042
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,greedy,0,past-avg-total,12760,12760,9.95,1.0,3.8960083594566353,11.642447753396029
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,greedy,0,random,12760,12760,10.183333333333334,1.0,3.85958986415883,11.605744514106583
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,greedy,1,none,12760,12760,22.25,1.0,3.8930433646812954,11.638061650992684
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,greedy,1,past-avg,12760,12760,12.666666666666666,1.0,3.894519331243469,11.640971786833855
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,greedy,1,past-avg-revisit,12760,12760,21.566666666666666,1.0,3.892257053291536,11.636870428422153
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,greedy,1,past-avg-total,12760,12760,11.083333333333334,1.0,3.904192789968652,11.650647857889236
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,greedy,1,random,12760,12760,13.7,1.0,3.8660292580982234,11.612272727272728
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,nearest,0,none,12760,12760,24.733333333333334,1.0,3.9075940438871473,11.652102925809823
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,nearest,0,past-avg,12760,12760,9.6,1.0,3.8963740856844304,11.642750783699059
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,nearest,0,past-avg-revisit,12758,12758,26.383333333333333,1.0,3.8999085541098397,11.644730103987042
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,nearest,0,past-avg-total,12760,12760,9.95,1.0,3.8960083594566353,11.642447753396029
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,nearest,0,random,12760,12760,10.183333333333334,1.0,3.85958986415883,11.605744514106583
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,nearest,1,none,12760,12760,22.25,1.0,3.8930433646812954,11.638061650992684
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,nearest,1,past-avg,12760,12760,12.666666666666666,1.0,3.894519331243469,11.640971786833855
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,nearest,1,past-avg-revisit,12760,12760,21.566666666666666,1.0,3.892257053291536,11.636870428422153
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,nearest,1,past-avg-total,12760,12760,11.083333333333334,1.0,3.904192789968652,11.650647857889236
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,3000,nearest,1,random,12760,12760,13.7,1.0,3.8660292580982234,11.612272727272728
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,greedy,0,none,12243,12243,98.58333333333333,1.0,6.163392686977593,13.418663726210896
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,greedy,0,past-avg,12712,12712,52.766666666666666,1.0,2.5833254667505767,10.192455947136564
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,greedy,0,past-avg-revisit,12238,12238,98.58333333333333,1.0,6.130375333660185,13.390582611537834
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,greedy,0,past-avg-total,12733,12733,46.21666666666667,1.0,2.436257493651666,10.054807717479516
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,greedy,0,random,12754,12754,15.733333333333333,1.0,1.9938084783858658,9.665678741309916
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,greedy,1,none,12246,12246,98.58333333333333,1.0,6.130771952746475,13.391399912896729
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,greedy,1,past-avg,12717,12717,52.766666666666666,1.0,2.582797305444156,10.189777463238185
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,greedy,1,past-avg-revisit,12252,12252,98.58333333333333,1.0,6.035134399825878,13.30610376537164
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,greedy,1,past-avg-total,12728,12728,46.21666666666667,1.0,2.4436950031426776,10.064685470354075
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,greedy,1,random,12754,12754,16.716666666666665,1.0,2.0157519209659718,9.686098478908578
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,nearest,0,none,12243,12243,98.58333333333333,1.0,6.163392686977593,13.418663726210896
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,nearest,0,past-avg,12712,12712,52.766666666666666,1.0,2.5833254667505767,10.192455947136564
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,nearest,0,past-avg-revisit,12238,12238,98.58333333333333,1.0,6.130375333660185,13.390582611537834
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,nearest,0,past-avg-total,12733,12733,46.21666666666667,1.0,2.436257493651666,10.054807717479516
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,nearest,0,random,12754,12754,15.733333333333333,1.0,1.9938084783858658,9.665678741309916
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,nearest,1,none,12246,12246,98.58333333333333,1.0,6.130771952746475,13.391399912896729
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,nearest,1,past-avg,12717,12717,52.766666666666666,1.0,2.582797305444156,10.189777463238185
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,nearest,1,past-avg-revisit,12252,12252,98.58333333333333,1.0,6.035134399825878,13.30610376537164
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,nearest,1,past-avg-total,12728,12728,46.21666666666667,1.0,2.4436950031426776,10.064685470354075
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,1000,nearest,1,random,12754,12754,16.716666666666665,1.0,2.0157519209659718,9.686098478908578
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,greedy,0,none,12739,12739,46.85,1.0,2.9948321427636913,10.701560823717193
