variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Simulation Time [millis],Taxi Travel Distance [km]
P2PCollector+greedy (k=0),0,BASELINE,1685,1,3000,1,4,1,past-avg-revisit,1.11,2134.0725,244.6625,1.6175,661281.7225
P2PCollector+greedy (k=0),0,BASELINE,1685,1,3000,1,4,1,past-avg-total,1.1749999999999998,2136.515,247.115,1.6575,504365.9475
P2PCollector+greedy (k=0),0,BASELINE,1685,1,3000,1,4,1,random,1.0750000000000002,2134.0725,244.6625,1.565,661281.7225
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,1000,1,4,0,none,0.01,834.8399999999999,363.9875,0.0175,66895.93000000001
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,1000,1,4,0,past-avg,0.01,659.3775,213.3425,0.01,111338.1575
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,1000,1,4,0,past-avg-revisit,0.01,588.38,137.21,0.01,227453.0825
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,1000,1,4,0,past-avg-total,0.01,671.025,225.2975,0.0125,127051.19
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,1000,1,4,0,random,0.01,588.38,137.21,0.01,227453.0825
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,1000,1,4,1,none,0.01,834.8399999999999,363.9875,0.0175,66895.93000000001
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,1000,1,4,1,past-avg,0.01,659.3775,213.3425,0.01,111338.1575
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,1000,1,4,1,past-avg-revisit,0.01,588.38,137.21,0.01,227453.0825
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,1000,1,4,1,past-avg-total,0.01,671.025,225.2975,0.01,127051.19
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,1000,1,4,1,random,0.01,588.38,137.21,0.01,227453.0825
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,2000,1,4,0,none,0.0,639.165,183.1275,0.01,82934.865
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,2000,1,4,0,past-avg,0.0,632.555,176.1025,0.01,99331.9475
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,2000,1,4,0,past-avg-revisit,0.0,619.99,162.4775,0.01,107012.6725
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,2000,1,4,0,past-avg-total,0.0,629.3475,172.4325,0.01,103040.935
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,2000,1,4,0,random,0.0,619.99,162.4775,0.01,107012.6725
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,2000,1,4,1,none,0.0,639.165,183.1275,0.01,82934.865
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,2000,1,4,1,past-avg,0.0,632.555,176.1025,0.01,99331.9475
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,2000,1,4,1,past-avg-revisit,0.0,619.99,162.4775,0.01,107012.6725
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,2000,1,4,1,past-avg-total,0.0,629.3475,172.4325,0.01,103040.935
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,2000,1,4,1,random,0.0,619.99,162.4775,0.01,107012.6725
