variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+nearest (k=2),2,SPATIAL_ISLANDS,6,1,200,1,4,0,return-to-hq,0.01,105.50999999999999,0.9560000000000001,9.748000000000001
P2PCollector+nearest (k=2),2,SPATIAL_ISLANDS,6,1,200,1,4,1,none,0.01,282.179,3.195,4.2509999999999994
P2PCollector+nearest (k=2),2,SPATIAL_ISLANDS,6,1,200,1,4,1,return-to-hq,0.01,109.571,0.999,9.833
SinglePassenger,0,BASELINE,6,1,-1,-1,-1,-1,nan,0.0,36.456,0.22200000000000003,10.229000000000001
SinglePassenger,0,RUSH_HOUR,6,1,-1,-1,-1,-1,nan,0.0,38.525999999999996,0.252,10.764
SinglePassenger,0,SPATIAL_IMBALANCE,6,1,-1,-1,-1,-1,nan,0.0,35.337,0.24900000000000003,9.907
SinglePassenger,0,SPATIAL_ISLANDS,6,1,-1,-1,-1,-1,nan,0.0,38.762,0.262,10.904
VehicleRouting,0,BASELINE,6,1,-1,-1,-1,-1,nan,0.05600000000000001,37.589,0.309,10.334
VehicleRouting,0,RUSH_HOUR,6,1,-1,-1,-1,-1,nan,0.093,41.973,0.42000000000000004,10.956999999999999
VehicleRouting,0,SPATIAL_IMBALANCE,6,1,-1,-1,-1,-1,nan,0.066,37.016000000000005,0.329,10.175
VehicleRouting,0,SPATIAL_ISLANDS,6,1,-1,-1,-1,-1,nan,0.065,40.940000000000005,0.356,11.239
