metric,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,avgMean,avgStd,countMean,servedRatioMean,runs,communicationTimeMillisMean,singleAvg,singleStd,singleCount,delta,deltaPct
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,True,random,random,0.0031,0.00031622776601683794,87149.2,,10,0.00012119999999999999,0.003,0.0004714045207910317,87047.0,9.999999999999983e-05,3.3333333333333277
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,False,none,none,0.0053,0.0014181364924121765,87147.7,,10,0.00011679999999999999,0.003,0.0004714045207910317,87047.0,0.0023,76.66666666666666
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,True,past-avg,past-avg,0.0034000000000000002,0.0005163977794943222,87237.8,,10,0.0001227,0.003,0.0004714045207910317,87047.0,0.0004000000000000002,13.33333333333334
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,0.0058000000000000005,0.0019321835661585919,87158.1,,10,0.0001197,0.003,0.0004714045207910317,87047.0,0.0028000000000000004,93.33333333333334
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,True,past-avg-total,past-avg-total,0.004,0.0008164965809277262,87183.0,,10,0.00013220000000000001,0.003,0.0004714045207910317,87047.0,0.001,33.33333333333333
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,True,random,random,0.0032,0.0004216370213557839,87149.2,,10,0.00012539999999999999,0.003,0.0004714045207910317,87047.0,0.0002000000000000001,6.66666666666667
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,False,none,none,0.0051,0.001286683937707919,87147.7,,10,0.0001054,0.003,0.0004714045207910317,87047.0,0.0021000000000000003,70.0
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,True,past-avg,past-avg,0.0035000000000000005,0.0005270462766947298,87237.8,,10,0.0001253,0.003,0.0004714045207910317,87047.0,0.0005000000000000004,16.666666666666682
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,0.0055,0.0017159383568311666,87158.1,,10,0.000115,0.003,0.0004714045207910317,87047.0,0.0024999999999999996,83.33333333333331
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,0.0036000000000000003,0.0008432740427115679,87183.0,,10,0.0001335,0.003,0.0004714045207910317,87047.0,0.0006000000000000003,20.00000000000001
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,True,random,random,0.0032,0.0004216370213557839,87149.2,,10,0.000127,0.003,0.0004714045207910317,87047.0,0.0002000000000000001,6.66666666666667
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,False,none,none,0.0051,0.001286683937707919,87147.7,,10,0.0001061,0.003,0.0004714045207910317,87047.0,0.0021000000000000003,70.0
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,True,past-avg,past-avg,0.0035000000000000005,0.0005270462766947298,87237.8,,10,0.0001193,0.003,0.0004714045207910317,87047.0,0.0005000000000000004,16.666666666666682
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,0.0054,0.002118699810942761,87158.1,,10,0.0001172,0.003,0.0004714045207910317,87047.0,0.0024000000000000002,80.0
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,True,past-avg-total,past-avg-total,0.0038,0.0007888106377466155,87183.0,,10,0.0001341,0.003,0.0004714045207910317,87047.0,0.0007999999999999999,26.666666666666668
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,True,random,random,0.0033,0.0004830458915396479,87149.2,,10,0.00012429999999999999,0.003,0.0004714045207910317,87047.0,0.0002999999999999999,9.999999999999998
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,False,none,none,0.005200000000000001,0.0013165611772087667,87147.7,,10,0.0001126,0.003,0.0004714045207910317,87047.0,0.0022000000000000006,73.33333333333336
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,True,past-avg,past-avg,0.0036999999999999997,0.0006749485577105531,87237.8,,10,0.00011980000000000001,0.003,0.0004714045207910317,87047.0,0.0006999999999999997,23.33333333333332
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,0.0055,0.0017159383568311666,87158.1,,10,0.0001127,0.003,0.0004714045207910317,87047.0,0.0024999999999999996,83.33333333333331
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,True,past-avg-total,past-avg-total,0.0039,0.0007378647873726219,87183.0,,10,0.0001407,0.003,0.0004714045207910317,87047.0,0.0008999999999999998,29.999999999999993
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,True,random,random,0.0031,0.00031622776601683794,87149.2,,10,0.0001252,0.003,0.0004714045207910317,87047.0,9.999999999999983e-05,3.3333333333333277
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,False,none,none,0.0053,0.0014181364924121765,87147.7,,10,0.0001114,0.003,0.0004714045207910317,87047.0,0.0023,76.66666666666666
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,True,past-avg,past-avg,0.0036000000000000003,0.0005163977794943222,87237.8,,10,0.0001251,0.003,0.0004714045207910317,87047.0,0.0006000000000000003,20.00000000000001
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,0.0056,0.0017126976771553505,87158.1,,10,0.0001137,0.003,0.0004714045207910317,87047.0,0.0026,86.66666666666666
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,True,past-avg-total,past-avg-total,0.0039,0.0007378647873726219,87183.0,,10,0.00013749999999999998,0.003,0.0004714045207910317,87047.0,0.0008999999999999998,29.999999999999993
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,True,random,random,0.0031,0.00031622776601683794,87149.2,,10,0.0001268,0.003,0.0004714045207910317,87047.0,9.999999999999983e-05,3.3333333333333277
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,False,none,none,0.005200000000000001,0.0013984117975602021,87147.7,,10,0.0001086,0.003,0.0004714045207910317,87047.0,0.0022000000000000006,73.33333333333336
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,True,past-avg,past-avg,0.0036999999999999997,0.0004830458915396479,87237.8,,10,0.0001232,0.003,0.0004714045207910317,87047.0,0.0006999999999999997,23.33333333333332
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,0.0052,0.001873795909674026,87158.1,,10,0.00011149999999999999,0.003,0.0004714045207910317,87047.0,0.0021999999999999997,73.33333333333331
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,True,past-avg-total,past-avg-total,0.0041,0.00031622776601683794,87183.0,,10,0.00013930000000000002,0.003,0.0004714045207910317,87047.0,0.0011000000000000003,36.66666666666668
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,True,random,random,0.0033,0.0004830458915396479,87149.2,,10,0.0001262,0.003,0.0004714045207910317,87047.0,0.0002999999999999999,9.999999999999998
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,False,none,none,0.0054,0.001429840705968481,87147.7,,10,0.0001312,0.003,0.0004714045207910317,87047.0,0.0024000000000000002,80.0
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,True,past-avg,past-avg,0.0036000000000000003,0.0005163977794943222,87237.8,,10,0.0001227,0.003,0.0004714045207910317,87047.0,0.0006000000000000003,20.00000000000001
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,0.0054,0.0021705094128132946,87158.1,,10,0.0001134,0.003,0.0004714045207910317,87047.0,0.0024000000000000002,80.0
