metric,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,runs,avgMean,avgStd,avgMin,avgMax,sumMean,sumStd,countMean,countMin,countMax,spreadMean,spreadStd,communicationTimeMillisMean,rawRows,servedRatioMean
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.004,0.0008164965809277262,0.003,0.006,340.1,61.98646805732862,87183.0,86734,87913,24.1,30.675542193886137,0.00013220000000000001,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,True,random,random,10,0.0032,0.0004216370213557839,0.003,0.004,279.5,21.97599700683553,87149.2,86818,87514,3.9,8.305955025696255,0.00012539999999999999,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,False,none,none,10,0.0051,0.001286683937707919,0.004,0.008,438.2,111.29719972518028,87147.7,86791,87501,0.0,0.0,0.0001054,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,True,past-avg,past-avg,10,0.0035000000000000005,0.0005270462766947298,0.003,0.004,320.9,41.541010526413004,87237.8,86884,87884,11.1,23.259167846010506,0.0001253,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0055,0.0017159383568311666,0.003,0.009,488.3,154.44024374782916,87158.1,86764,87592,28.9,20.03025489381279,0.000115,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0036000000000000003,0.0008432740427115679,0.003,0.005,327.5,63.678445681756756,87183.0,86734,87913,5.3,16.411716681823524,0.0001335,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,True,random,random,10,0.0032,0.0004216370213557839,0.003,0.004,287.0,29.38253449471868,87149.2,86818,87514,3.4,7.167829363048326,0.000127,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,False,none,none,10,0.0051,0.001286683937707919,0.004,0.008,449.0,108.97808138438766,87147.7,86791,87501,4.9,7.894442489639292,0.0001061,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,True,past-avg,past-avg,10,0.0035000000000000005,0.0005270462766947298,0.003,0.004,318.7,44.67176587808754,87237.8,86884,87884,15.5,24.286484581621387,0.0001193,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0054,0.002118699810942761,0.003,0.01,481.9,171.7682223876763,87158.1,86764,87592,16.4,20.608520352298733,0.0001172,10,
