window,tickBlockSize,series,selectedConfig,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,firstBlock,lastBlock,blocks,activeClientsMean,servedRequestsMean,finishedRequestsMean,meanBlockWaitingTime,waitingTimeMax,waitingTimeSum,waitingTimeCount,calculationTimeMillisMean,pooledClientWaitingTime
blocks_10_85,1000,Central,n/a,TaxiAlgorithmSinglePassenger,1685,27762,1,BASELINE,10,85,76,630.7947368421053,321.25394736842105,321.2368421052632,1.3431788202978223,2.0283582089552237,328087.2,244153,0.6733056407894736,1.3437770578284929
blocks_10_85,1000,Central,n/a,TaxiAlgorithmSinglePassenger,1685,27762,1,RUSH_HOUR,10,85,76,1550.8894736842105,333.275,352.325,29.487225539681717,137.67121749408983,10982898.616666667,253289,0.7210173657894737,43.361135369742335
blocks_10_85,1000,Central,n/a,TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_IMBALANCE,10,85,76,755.5657894736842,320.7934210526316,320.77894736842103,12.401952175004991,15.445399305555556,3029573.783333333,243803,0.698109747368421,12.426318721809547
blocks_10_85,1000,Central,n/a,TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_ISLANDS,10,85,76,871.5631578947368,320.48552631578946,320.3513157894737,15.242278955632113,18.990767045454547,3722659.55,243569,0.5993886684210527,15.283798636115433
blocks_10_85,1000,Selected P2P,"k=0, r=3000, greedy, shortcuts=0, roam=past-avg, minN=0",TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_IMBALANCE,10,85,76,619.7618421052632,324.24342105263156,324.11315789473684,5.459624371716993,22.40741811175337,1360875.85,246425,3.6886429486842105,5.522474789489703
blocks_10_85,1000,Selected P2P,"k=1, r=1000, greedy, shortcuts=1, roam=past-avg, minN=1",TaxiAlgorithmP2PCollector,39,638,1,BASELINE,10,85,76,4.503947368421053,7.373684210526315,7.403947368421052,2.5897987211536457,12.827777777777778,14581.683333333332,5604,0.011276030263157894,2.602013442778967
blocks_10_85,1000,Selected P2P,"k=1, r=2000, greedy, shortcuts=0, roam=none, minN=0",TaxiAlgorithmP2PCollector,1685,27762,1,BASELINE,10,85,76,659.4368421052632,321.23026315789474,321.3184210526316,2.8397847162378484,4.208751393534002,693385.3666666667,244135,3.4769560289473684,2.84017189942723
blocks_10_85,1000,Selected P2P,"k=1, r=2000, greedy, shortcuts=0, roam=random, minN=0",TaxiAlgorithmP2PCollector,39,638,1,RUSH_HOUR,10,85,76,5.048684210526316,8.072368421052632,8.082894736842105,2.739928039596485,8.783333333333333,16907.883333333335,6135,0.003994093421052632,2.755971203477316
blocks_10_85,1000,Selected P2P,"k=1, r=2000, greedy, shortcuts=1, roam=past-avg-total, minN=0",TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_IMBALANCE,10,85,76,4.061842105263158,7.343421052631579,7.356578947368421,2.703664208261104,4.483333333333333,15158.483333333334,5581,0.0035606592105263154,2.716087320074061
blocks_10_85,1000,Selected P2P,"k=1, r=2000, nearest, shortcuts=0, roam=past-avg-revisit, minN=0",TaxiAlgorithmP2PCollector,1685,27762,1,RUSH_HOUR,10,85,76,910.4026315789474,349.80263157894734,352.3171052631579,8.797373701132454,41.503501945525294,3442972.783333333,265850,4.989480359210526,12.9508097924895
blocks_10_85,1000,Selected P2P,"k=2, r=3000, greedy, shortcuts=0, roam=past-avg, minN=0",TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_ISLANDS,10,85,76,5.022368421052631,7.402631578947369,7.386842105263158,3.846200996074932,5.933333333333334,21642.383333333335,5626,0.004453840789473684,3.846850930205001
blocks_10_85,1000,Selected P2P,"k=2, r=3000, nearest, shortcuts=1, roam=past-avg-total, minN=1",TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_ISLANDS,10,85,76,857.6828947368421,319.58815789473687,321.4,15.70706734808836,21.620077972709552,3820145.0166666666,242887,9.21279812105263,15.728075264080278
