taxiCount,clientCount,taxiSeatCount,spawnScenario,p2pRqsRadius,kHops,waitingAvgMean,servedRatio,centralWaitingAvgMean,waitingDeltaPct
39,638,1,SPATIAL_IMBALANCE,2000,2,5.098192833333333,0.9863087774294671,3.289476666666667,54.984921613671055
39,638,1,SPATIAL_IMBALANCE,3000,0,4.190927333333333,1.0,3.289476666666667,27.40407542030492
39,638,1,SPATIAL_IMBALANCE,3000,1,4.191019166666667,1.0,3.289476666666667,27.406867151107118
39,638,1,SPATIAL_IMBALANCE,3000,2,4.186421166666667,1.0,3.289476666666667,27.26708807784015
39,638,1,SPATIAL_ISLANDS,1000,0,12.604733,0.8344827586206897,3.6515883333333337,245.1849400694583
39,638,1,SPATIAL_ISLANDS,1000,1,12.521821166666665,0.8360579937304076,3.6515883333333337,242.91437105223156
39,638,1,SPATIAL_ISLANDS,1000,2,12.501507916666666,0.8374373040752351,3.6515883333333337,242.3580857279914
39,638,1,SPATIAL_ISLANDS,2000,0,7.127802333333333,0.9622257053291536,3.6515883333333337,95.19731368039386
39,638,1,SPATIAL_ISLANDS,2000,1,6.728012083333333,0.9672805642633229,3.6515883333333337,84.24892044694703
39,638,1,SPATIAL_ISLANDS,2000,2,6.642405666666667,0.9687852664576801,3.6515883333333337,81.90455934015928
39,638,1,SPATIAL_ISLANDS,3000,0,4.299741,0.9981504702194357,3.6515883333333337,17.749883269974287
39,638,1,SPATIAL_ISLANDS,3000,1,4.26784975,0.9988479623824451,3.6515883333333337,16.87653044131936
39,638,1,SPATIAL_ISLANDS,3000,2,4.24927875,0.9988166144200626,3.6515883333333337,16.367957231396566
1685,27762,1,BASELINE,1000,0,5.057938666666667,0.9983661119515885,1.31656,284.17836381681553
1685,27762,1,BASELINE,1000,1,4.979059583333333,0.9984340105179742,1.31656,278.18706198983205
1685,27762,1,BASELINE,1000,2,4.933311458333334,0.9984556227937469,1.31656,274.7122393459724
1685,27762,1,BASELINE,2000,0,3.2367809999999997,0.9998984223038686,1.31656,145.85138542869296
1685,27762,1,BASELINE,2000,1,3.21357875,0.9999085980837116,1.31656,144.08904645439634
1685,27762,1,BASELINE,2000,2,3.222994875,0.9999131006411641,1.31656,144.80425312936745
1685,27762,1,BASELINE,3000,0,4.179242,0.9999949571356531,1.31656,217.43650118490615
1685,27762,1,BASELINE,3000,1,4.188560166666667,0.999992976010374,1.31656,218.1442673836868
1685,27762,1,BASELINE,3000,2,4.201872833333334,0.9999960377494418,1.31656,219.15543790889393
1685,27762,1,RUSH_HOUR,1000,0,21.099677000000003,0.9759621064764786,41.76129166666667,-49.475516302477075
1685,27762,1,RUSH_HOUR,1000,1,20.195664916666665,0.9791083135220806,41.76129166666667,-51.64022923939734
1685,27762,1,RUSH_HOUR,1000,2,19.407817666666666,0.9815755349038253,41.76129166666667,-53.52677828651133
1685,27762,1,RUSH_HOUR,2000,0,16.821144,0.9880793890930049,41.76129166666667,-59.72072862529196
1685,27762,1,RUSH_HOUR,2000,1,16.310821291666667,0.9890499603774945,41.76129166666667,-60.94272796479196
1685,27762,1,RUSH_HOUR,2000,2,16.099920416666667,0.9896997694690585,41.76129166666667,-61.447743175249016
1685,27762,1,RUSH_HOUR,3000,0,17.09129533333333,0.9893624378647072,41.76129166666667,-59.073834521801
1685,27762,1,RUSH_HOUR,3000,1,16.860422166666666,0.989916252431381,41.76129166666667,-59.626674621933596
1685,27762,1,RUSH_HOUR,3000,2,16.8759965,0.990169386211368,41.76129166666667,-59.589380915939905
1685,27762,1,SPATIAL_IMBALANCE,1000,0,57.192941000000005,0.7910359484187018,11.979215,377.43479852394336
1685,27762,1,SPATIAL_IMBALANCE,1000,1,56.05777379166667,0.8032308551257114,11.979215,367.95865832332646
1685,27762,1,SPATIAL_IMBALANCE,1000,2,54.48301579166666,0.8170379475542108,11.979215,354.8129054505379
