taxiCount,clientCount,taxiSeatCount,spawnScenario,p2pRqsRadius,idleRoamingMode,waitingAvgMean,servedRatio,centralWaitingAvgMean,waitingDeltaPct
1685,27762,1,BASELINE,2000,random,2.709868333333333,1.0,1.31656,105.82945960179053
1685,27762,1,BASELINE,3000,none,4.14536,0.9999993996590063,1.31656,214.86297624111322
1685,27762,1,BASELINE,3000,past-avg,4.266720277777778,0.9999879931801262,1.31656,224.08095930134428
1685,27762,1,BASELINE,3000,past-avg-revisit,4.134762222222222,0.9999996998295032,1.31656,214.05801651441806
1685,27762,1,BASELINE,3000,past-avg-total,4.307418055555556,0.9999861921571452,1.31656,227.17218019350094
1685,27762,1,BASELINE,3000,random,4.095197777777778,1.0,1.31656,211.0528785454349
1685,27762,1,RUSH_HOUR,1000,none,20.896938680555554,0.9706945044785438,41.76129166666667,-49.96098576798757
1685,27762,1,RUSH_HOUR,1000,past-avg,25.613404652777778,0.9754067310232212,41.76129166666667,-38.66711581332128
1685,27762,1,RUSH_HOUR,1000,past-avg-revisit,18.457938680555557,0.9781057140455779,41.76129166666667,-55.801322363578976
1685,27762,1,RUSH_HOUR,1000,past-avg-total,25.59146,0.9755578668683813,41.76129166666667,-38.71966364386479
1685,27762,1,RUSH_HOUR,1000,random,10.612190625,0.9946451084215835,41.76129166666667,-74.58845212522363
1685,27762,1,RUSH_HOUR,2000,none,13.478080833333332,0.9919759923636625,41.76129166666667,-67.7259004800099
1685,27762,1,RUSH_HOUR,2000,past-avg,22.008206875,0.9825000600340994,41.76129166666667,-47.29998523353465
1685,27762,1,RUSH_HOUR,2000,past-avg-revisit,12.756510069444445,0.993152960881781,41.76129166666667,-69.45374637531499
1685,27762,1,RUSH_HOUR,2000,past-avg-total,22.026369722222224,0.9825306774247773,41.76129166666667,-47.25649317067606
1685,27762,1,RUSH_HOUR,2000,random,11.783975347222222,0.994555507528276,41.76129166666667,-71.78254101601928
1685,27762,1,RUSH_HOUR,3000,none,14.540871041666668,0.9924619683980501,41.76129166666667,-65.18098348650216
1685,27762,1,RUSH_HOUR,3000,past-avg,20.733333958333333,0.9855391362293783,41.76129166666667,-50.35274741063047
1685,27762,1,RUSH_HOUR,3000,past-avg-revisit,14.471791527777777,0.9926225596138606,41.76129166666667,-65.346398661972
1685,27762,1,RUSH_HOUR,3000,past-avg-total,20.75397347222222,0.9855172237831088,41.76129166666667,-50.30332481600952
1685,27762,1,RUSH_HOUR,3000,random,14.212886666666668,0.9929392394880292,41.76129166666667,-65.96636239101001
1685,27762,1,SPATIAL_IMBALANCE,1000,none,104.75158451388889,0.5570795211680234,11.979215,774.4444816616856
1685,27762,1,SPATIAL_IMBALANCE,1000,past-avg,6.7007401388888885,0.994704091924213,11.979215,-44.06361235783072
1685,27762,1,SPATIAL_IMBALANCE,1000,past-avg-revisit,102.93488034722223,0.5772826465432365,11.979215,759.2790124162747
1685,27762,1,SPATIAL_IMBALANCE,1000,past-avg-total,6.625053819444445,0.9948112527915857,11.979215,-44.69542604048391
1685,27762,1,SPATIAL_IMBALANCE,1000,random,58.54395881944444,0.8949637394039814,11.979215,388.7128148167008
1685,27762,1,SPATIAL_IMBALANCE,2000,none,94.09177013888889,0.6868468289988714,11.979215,685.4585641787787
1685,27762,1,SPATIAL_IMBALANCE,2000,past-avg,6.145415277777778,0.996851811829119,11.979215,-48.6993490159599
1685,27762,1,SPATIAL_IMBALANCE,2000,past-avg-revisit,87.13684680555555,0.733445146843407,11.979215,627.4003079964384
1685,27762,1,SPATIAL_IMBALANCE,2000,past-avg-total,6.0168123611111115,0.9969934923036284,11.979215,-49.77289946702591
1685,27762,1,SPATIAL_IMBALANCE,2000,random,52.659211666666664,0.918898584395937,11.979215,339.58816722687305
1685,27762,1,SPATIAL_IMBALANCE,3000,none,82.72142229166666,0.7733634704512163,11.979215,590.5412607726521
1685,27762,1,SPATIAL_IMBALANCE,3000,past-avg,5.81318375,0.9989629109334102,11.979215,-51.47274884038728
1685,27762,1,SPATIAL_IMBALANCE,3000,past-avg-revisit,74.76227284722222,0.8148602406166702,11.979215,524.0999334866451
1685,27762,1,SPATIAL_IMBALANCE,3000,past-avg-total,5.7278047222222215,0.9990280479312249,11.979215,-52.18547524005353
1685,27762,1,SPATIAL_IMBALANCE,3000,random,45.924815138888896,0.9400766635448936,11.979215,283.37082303714305
1685,27762,1,SPATIAL_ISLANDS,1000,none,150.0216401388889,0.4315638282544485,14.69835,920.6699400877575
1685,27762,1,SPATIAL_ISLANDS,1000,past-avg,58.10821958333333,0.9421122697692289,14.69835,295.3383854877134
1685,27762,1,SPATIAL_ISLANDS,1000,past-avg-revisit,148.42353708333334,0.44518826693561947,14.69835,909.797270328529
1685,27762,1,SPATIAL_ISLANDS,1000,past-avg-total,57.78080583333334,0.9425721309703912,14.69835,293.1108310343225
1685,27762,1,SPATIAL_ISLANDS,1000,random,72.00249604166667,0.8884866604231204,14.69835,389.8678834132176
1685,27762,1,SPATIAL_ISLANDS,2000,none,133.13193256944444,0.5454309547823163,14.69835,805.7610722934509
1685,27762,1,SPATIAL_ISLANDS,2000,past-avg,51.21832270833334,0.9534998379079317,14.69835,248.463077204811
1685,27762,1,SPATIAL_ISLANDS,2000,past-avg-revisit,124.86218118055557,0.5908739163845064,14.69835,749.4979448751429
1685,27762,1,SPATIAL_ISLANDS,2000,past-avg-total,49.63886597222222,0.9552615385538986,14.69835,237.71726739547105
1685,27762,1,SPATIAL_ISLANDS,2000,random,56.80625527777778,0.9339862041639652,14.69835,286.48049119647976
1685,27762,1,SPATIAL_ISLANDS,3000,none,116.500353125,0.6299588166078333,14.69835,692.6083752598081
1685,27762,1,SPATIAL_ISLANDS,3000,past-avg,41.73177472222222,0.9659917333045169,14.69835,183.92149269967186
1685,27762,1,SPATIAL_ISLANDS,3000,past-avg-revisit,107.79897458333333,0.6698948502749561,14.69835,633.4086790920977
1685,27762,1,SPATIAL_ISLANDS,3000,past-avg-total,40.29600243055555,0.9673476034387533,14.69835,174.15323781618724
1685,27762,1,SPATIAL_ISLANDS,3000,random,44.551933958333336,0.962990778762337,14.69835,203.10840304070413
