taxiCount,clientCount,taxiSeatCount,spawnScenario,waitingAvgMean,travelAvgMean,distanceAvgMean,servedRatio,kmPerServedClient,calculationAvgMean,calculationSumMean,calculationMsPerServedClient,communicationTotalMs,communicationMsPerServedClient,idleRoamingMode,variant
39,638,1,BASELINE,2.8516956481481484,10.571052592592592,158.43206577777778,0.9998171368861024,9.687722225481899,0.004729166666666667,413.0416666666667,0.6476012225550404,11.63001388888889,0.01823131909966043,random,P2P random
39,638,1,RUSH_HOUR,4.607059490740741,12.354630555555556,81.47027071111111,0.9851053639846743,5.043816381558926,0.008655555555555555,755.3944444444445,1.2206045844341782,12.011990277777777,0.019006682260682608,none,P2P none
39,638,1,RUSH_HOUR,3.49869212962963,11.149264953703703,103.74961019722222,0.996686694531522,6.36469330343781,0.006965277777777779,605.6986111111112,0.9550395024398411,13.409830555555555,0.021062089608394854,past-avg,P2P past-avg
39,638,1,RUSH_HOUR,4.510738935185184,12.225464421296296,82.96142951111112,0.9861938349007313,5.130831676745888,0.009176388888888888,801.2638888888889,1.2923573568950018,12.445063888888889,0.019679801215860826,past-avg-revisit,P2P past-avg-revisit
39,638,1,RUSH_HOUR,3.504317962962963,11.152452175925925,103.86205665,0.9968390804597702,6.3705549746574555,0.007008333333333334,609.5930555555556,0.9610161214819526,13.041254166666667,0.020479504433778155,past-avg-total,P2P past-avg-total
39,638,1,RUSH_HOUR,2.968913240740741,10.644371342592594,144.93152560833335,0.9997823058167885,8.862402237302828,0.005233333333333334,454.65694444444443,0.7128724597706961,13.046719444444443,0.020452468611468343,random,P2P random
39,638,1,SPATIAL_IMBALANCE,11.857973564814815,18.30760902777778,64.26819408055556,0.8854841518634622,4.304862901532541,0.018494444444444445,1643.625,3.1914783336801196,12.162209722222222,0.02044478280257944,none,P2P none
39,638,1,SPATIAL_IMBALANCE,2.9480751388888886,9.501986342592593,95.38129105277777,0.9992859630790666,5.835020015314255,0.005511111111111111,480.2902777777778,0.7536625321978576,17.851694444444444,0.027992558769119616,past-avg,P2P past-avg
39,638,1,SPATIAL_IMBALANCE,11.4531625,17.93444291666667,65.84235939861111,0.889385231626611,4.388932056355613,0.01844166666666667,1633.9125,3.16530202967172,13.305426388888888,0.022067731519815587,past-avg-revisit,P2P past-avg-revisit
39,638,1,SPATIAL_IMBALANCE,2.952167314814815,9.505987824074074,95.55307581666666,0.9993338557993732,5.845220956951047,0.005395833333333333,471.1458333333333,0.739245946946125,18.695290277777776,0.029313726668382795,past-avg-total,P2P past-avg-total
39,638,1,SPATIAL_IMBALANCE,3.173360185185185,9.703126203703704,171.40086029444444,0.999734413096482,10.482304343472128,0.006440277777777777,560.3958333333334,0.8787749983069019,14.239591666666668,0.022323746342050785,random,P2P random
39,638,1,SPATIAL_ISLANDS,15.445751388888889,23.544835046296296,64.41109900555556,0.8322840473702543,4.524615277719872,0.019352777777777778,1727.677777777778,3.669890319837031,8.258580555555556,0.014891263167820853,none,P2P none
39,638,1,SPATIAL_ISLANDS,2.9673818055555556,10.399741574074074,106.14943116666667,0.9991292232671543,6.494849957862554,0.005851388888888889,511.64861111111105,0.8031159716231433,16.048319444444445,0.025165461289428828,past-avg,P2P past-avg
39,638,1,SPATIAL_ISLANDS,14.862887453703703,22.975178101851853,66.15740638472222,0.8377742946708464,4.612619247771006,0.019493055555555555,1739.4597222222224,3.714804947981734,9.245883333333333,0.016472064065963382,past-avg-revisit,P2P past-avg-revisit
39,638,1,SPATIAL_ISLANDS,2.964634166666667,10.397291481481481,106.20757474722222,0.9990856844305119,6.49871164682825,0.005908333333333333,514.6652777777778,0.80791272573869,16.55086111111111,0.02595538362884924,past-avg-total,P2P past-avg-total
