rank,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,groups,groupsWithin5,groupsWithin5WithTravel,meanWaitingDeltaPct,worstWaitingDeltaPct,meanDistanceDeltaPct,worstDistanceDeltaPct,meanTravelDeltaPct,worstTravelDeltaPct,worstPickupGapPoints,worstReferenceNormalizedRegret
44,0,15,3000,greedy,1,4,1,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,45.271559959678015
45,0,15,3000,nearest,0,4,0,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,45.271559959678015
46,0,15,3000,nearest,0,4,1,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,45.271559959678015
47,0,15,3000,nearest,1,4,0,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,45.271559959678015
48,0,15,3000,nearest,1,4,1,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,45.271559959678015
49,0,15,3000,greedy,0,4,0,1,2000,past-avg-total,8,1,1,77.00591394574155,227.1589090761784,12.034071692326984,35.46729078466142,9.906057032505087,61.250669640327104,4.158201858655719,45.43178181523568
50,0,15,3000,greedy,0,4,1,1,2000,past-avg-total,8,1,1,77.00591394574155,227.1589090761784,12.034071692326984,35.46729078466142,9.906057032505087,61.250669640327104,4.158201858655719,45.43178181523568
51,0,15,3000,greedy,1,4,0,1,2000,past-avg-total,8,1,1,77.00591394574155,227.1589090761784,12.034071692326984,35.46729078466142,9.906057032505087,61.250669640327104,4.158201858655719,45.43178181523568
52,0,15,3000,greedy,1,4,1,1,2000,past-avg-total,8,1,1,77.00591394574155,227.1589090761784,12.034071692326984,35.46729078466142,9.906057032505087,61.250669640327104,4.158201858655719,45.43178181523568
53,0,15,3000,nearest,0,4,0,1,2000,past-avg-total,8,1,1,77.00591394574155,227.1589090761784,12.034071692326984,35.46729078466142,9.906057032505087,61.250669640327104,4.158201858655719,45.43178181523568
54,0,15,3000,nearest,0,4,1,1,2000,past-avg-total,8,1,1,77.00591394574155,227.1589090761784,12.034071692326984,35.46729078466142,9.906057032505087,61.250669640327104,4.158201858655719,45.43178181523568
55,0,15,3000,nearest,1,4,0,1,2000,past-avg-total,8,1,1,77.00591394574155,227.1589090761784,12.034071692326984,35.46729078466142,9.906057032505087,61.250669640327104,4.158201858655719,45.43178181523568
56,0,15,3000,nearest,1,4,1,1,2000,past-avg-total,8,1,1,77.00591394574155,227.1589090761784,12.034071692326984,35.46729078466142,9.906057032505087,61.250669640327104,4.158201858655719,45.43178181523568
57,1,15,2000,nearest,1,4,1,1,2000,past-avg,8,1,1,48.30698311694884,227.4472871671537,12.617695696720151,35.47870412969441,3.687422783695851,61.495166658414234,4.148476334558026,45.489457433430736
58,1,15,2000,greedy,1,4,1,1,2000,past-avg,8,1,1,48.23172718547657,227.44913544717608,12.649231837928387,35.61657408504084,3.6719353371180725,61.48591622605626,4.124702831208116,45.48982708943522
59,1,15,2000,greedy,0,4,1,1,2000,past-avg,8,1,1,48.294110640384034,227.5532174246316,12.648362058304198,35.622398112614384,3.689111137325554,61.53422279664471,4.12830487717023,45.51064348492632
60,1,15,3000,nearest,1,4,1,1,2000,past-avg-total,8,1,1,67.24757499710584,227.84617994369162,13.53589137051246,36.13500010185482,7.0920238356836816,41.24856154099006,2.7249477703335523,45.56923598873833
61,1,15,3000,nearest,0,4,1,1,2000,past-avg-total,8,1,1,67.25273310130994,227.85618075388382,13.535154511621126,36.1303227687781,7.092795656329874,41.2069662877109,2.720265110582809,45.57123615077676
62,1,15,3000,greedy,1,4,1,1,2000,past-avg-total,8,1,1,67.12351633072534,227.87453667132525,13.541928575362252,36.141103051073095,7.066935686772728,40.89659769023304,2.714862041639654,45.57490733426505
63,1,15,3000,greedy,0,4,1,1,2000,past-avg-total,8,1,1,67.15095716589806,227.88453748151753,13.537526281132564,36.1364257179964,7.072646882499809,40.94361419649428,2.7231467473525006,45.576907496303505
64,1,15,2000,nearest,0,4,1,1,2000,past-avg,8,1,1,48.26632233817608,227.95221912663663,12.633280410087835,35.61792425730987,3.703618809645419,61.64061209003546,4.179093725235939,45.59044382532733
65,2,15,3000,greedy,1,4,1,1,2000,past-avg-total,8,1,1,48.372891220072574,229.42238358550574,15.94961701859125,36.44585223417101,1.6212252885668343,23.126183901547325,0.4643037245155246,45.88447671710115
66,2,15,3000,nearest,1,4,1,1,2000,past-avg-total,8,1,1,48.531507417310046,229.42238358550574,15.904420168966404,36.44585223417101,1.6591643503590754,23.126183901547325,0.4772710899791033,45.88447671710115
67,2,15,3000,greedy,0,4,1,1,2000,past-avg-total,8,1,1,48.382170674968506,229.42251017803974,15.943451640630144,36.44585331888705,1.6238783613807928,23.126183901547325,0.4643037245155246,45.88450203560795
