metric,variant_k,spawnScenario,count,mean,median,std,min,max
Client Travel Time [min],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,60,10713.632833333333,10729.8,2171.8360501409484,6588.56,14927.42
Client Travel Time [min],P2PCollector+nearest (k=10),BASELINE,60,10198.698833333334,10853.48,2215.899695733733,4522.84,13315.57
Client Travel Time [min],P2PCollector+nearest (k=10),RUSH_HOUR,60,11183.332666666665,11149.64,2317.1231344725784,6116.32,15914.44
Client Travel Time [min],P2PCollector+nearest (k=10),SPATIAL_IMBALANCE,60,8928.809833333333,9051.11,1716.6302652200495,4668.32,13292.64
Client Travel Time [min],P2PCollector+nearest (k=10),SPATIAL_ISLANDS,60,10688.465,10639.26,2182.358946737471,6559.36,14927.42
Client Travel Time [min],P2PCollector+nearest (k=2),BASELINE,60,10193.7825,10853.48,2227.6110901185302,4522.84,13315.57
Client Travel Time [min],P2PCollector+nearest (k=2),RUSH_HOUR,60,11198.153666666667,11149.64,2307.082743635984,6116.32,15914.44
Client Travel Time [min],P2PCollector+nearest (k=2),SPATIAL_IMBALANCE,60,8928.336833333333,9051.11,1717.3561059614328,4668.32,13292.64
Client Travel Time [min],P2PCollector+nearest (k=2),SPATIAL_ISLANDS,60,10688.576,10639.26,2182.164185524024,6559.36,14927.42
Client Travel Time [min],P2PCollector+nearest (k=3),BASELINE,60,10198.698833333334,10853.48,2215.899695733733,4522.84,13315.57
Client Travel Time [min],P2PCollector+nearest (k=3),RUSH_HOUR,60,11183.338333333335,11149.64,2317.1153457724386,6116.32,15914.44
Client Travel Time [min],P2PCollector+nearest (k=3),SPATIAL_IMBALANCE,60,8928.809833333333,9051.11,1716.6302652200495,4668.32,13292.64
Client Travel Time [min],P2PCollector+nearest (k=3),SPATIAL_ISLANDS,60,10688.465,10639.26,2182.358946737471,6559.36,14927.42
Client Travel Time [min],VehicleRouting,BASELINE,20,2150.298,1884.86,1010.8758375347483,1084.46,3966.67
Client Travel Time [min],VehicleRouting,RUSH_HOUR,20,2850.6925,2548.83,1423.6484835685756,1034.44,5915.94
Client Travel Time [min],VehicleRouting,SPATIAL_IMBALANCE,20,1795.873,1813.69,676.7513197475125,866.2,3049.96
Client Travel Time [min],VehicleRouting,SPATIAL_ISLANDS,20,2161.8175,1971.99,998.2876797527117,1125.36,4259.18
Client Waiting Time [min],FillAllSeats,BASELINE,20,19.2835,19.025,4.642141378603992,12.03,26.83
Client Waiting Time [min],FillAllSeats,RUSH_HOUR,20,27.2515,26.505,10.135037857276165,14.55,50.21
Client Waiting Time [min],FillAllSeats,SPATIAL_IMBALANCE,20,17.8285,17.1,4.411394665492631,11.6,27.05
Client Waiting Time [min],FillAllSeats,SPATIAL_ISLANDS,20,18.557499999999997,16.92,5.758280879239091,11.59,31.2
Client Waiting Time [min],P2PCollector+greedy (k=1),BASELINE,60,99.27633333333333,96.69,52.073635574260656,0.0,235.78
Client Waiting Time [min],P2PCollector+greedy (k=1),RUSH_HOUR,60,123.52933333333334,126.24000000000001,55.64438323846083,0.0,275.5
Client Waiting Time [min],P2PCollector+greedy (k=1),SPATIAL_IMBALANCE,60,90.39916666666666,92.86500000000001,45.994594424159644,0.0,190.73
Client Waiting Time [min],P2PCollector+greedy (k=1),SPATIAL_ISLANDS,60,138.6695,129.14999999999998,88.10230387000891,0.0,434.71
Client Waiting Time [min],P2PCollector+greedy (k=10),BASELINE,60,99.46216666666668,94.78999999999999,52.01491862564786,0.0,235.78
Client Waiting Time [min],P2PCollector+greedy (k=10),RUSH_HOUR,60,123.35283333333334,126.24000000000001,55.783106643063654,0.0,275.5
Client Waiting Time [min],P2PCollector+greedy (k=10),SPATIAL_IMBALANCE,60,90.18133333333334,91.55,46.108176835279956,0.0,190.73
Client Waiting Time [min],P2PCollector+greedy (k=10),SPATIAL_ISLANDS,60,137.591,128.44,88.13052824732495,0.0,434.71
Client Waiting Time [min],P2PCollector+greedy (k=2),BASELINE,60,98.8895,93.595,52.16507200257562,0.0,235.78
Client Waiting Time [min],P2PCollector+greedy (k=2),RUSH_HOUR,60,123.92916666666666,126.24000000000001,55.27880935494691,0.0,275.5
Client Waiting Time [min],P2PCollector+greedy (k=2),SPATIAL_IMBALANCE,60,90.19316666666667,91.55,46.10213387067218,0.0,190.73
Client Waiting Time [min],P2PCollector+greedy (k=2),SPATIAL_ISLANDS,60,137.28583333333333,128.44,88.31991431945276,0.0,434.71
Client Waiting Time [min],P2PCollector+greedy (k=3),BASELINE,60,99.46216666666668,94.78999999999999,52.01491862564786,0.0,235.78
Client Waiting Time [min],P2PCollector+greedy (k=3),RUSH_HOUR,60,123.35333333333332,126.24000000000001,55.78285498909556,0.0,275.5
Client Waiting Time [min],P2PCollector+greedy (k=3),SPATIAL_IMBALANCE,60,90.18133333333334,91.55,46.108176835279956,0.0,190.73
Client Waiting Time [min],P2PCollector+greedy (k=3),SPATIAL_ISLANDS,60,137.591,128.44,88.13052824732495,0.0,434.71
Client Waiting Time [min],P2PCollector+nearest (k=1),BASELINE,60,99.27616666666667,96.685,52.07364150214372,0.0,235.78
Client Waiting Time [min],P2PCollector+nearest (k=1),RUSH_HOUR,60,123.52933333333334,126.24000000000001,55.64438323846083,0.0,275.5
Client Waiting Time [min],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,60,90.39916666666666,92.86500000000001,45.994594424159644,0.0,190.73
Client Waiting Time [min],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,60,138.6695,129.14999999999998,88.10230387000891,0.0,434.71
Client Waiting Time [min],P2PCollector+nearest (k=10),BASELINE,60,99.79133333333334,94.78999999999999,51.69251571787678,0.0,235.78
Client Waiting Time [min],P2PCollector+nearest (k=10),RUSH_HOUR,60,123.35283333333334,126.24000000000001,55.783106643063654,0.0,275.5
Client Waiting Time [min],P2PCollector+nearest (k=10),SPATIAL_IMBALANCE,60,90.18133333333334,91.55,46.108176835279956,0.0,190.73
Client Waiting Time [min],P2PCollector+nearest (k=10),SPATIAL_ISLANDS,60,137.591,128.44,88.13052824732495,0.0,434.71
Client Waiting Time [min],P2PCollector+nearest (k=2),BASELINE,60,98.8895,93.595,52.16507200257562,0.0,235.78
Client Waiting Time [min],P2PCollector+nearest (k=2),RUSH_HOUR,60,123.92916666666666,126.24000000000001,55.27880935494691,0.0,275.5
Client Waiting Time [min],P2PCollector+nearest (k=2),SPATIAL_IMBALANCE,60,90.19316666666667,91.55,46.10213387067218,0.0,190.73
Client Waiting Time [min],P2PCollector+nearest (k=2),SPATIAL_ISLANDS,60,137.28583333333333,128.44,88.31991431945276,0.0,434.71
Client Waiting Time [min],P2PCollector+nearest (k=3),BASELINE,60,99.79133333333334,94.78999999999999,51.69251571787678,0.0,235.78
Client Waiting Time [min],P2PCollector+nearest (k=3),RUSH_HOUR,60,123.35333333333332,126.24000000000001,55.78285498909556,0.0,275.5
