algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Simulation Time [millis],4,0.02,0.0,0.02,0.02,3.75,3.0,5.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Taxi Travel Distance [km],4,236.7825,3.773469060427024,234.14,243.29,325.54,322.24,332.47
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Client Waiting Time [min],4,0.5225,0.004330127018922197,0.52,0.53,2.6500000000000004,2.1900000000000004,3.1700000000000004
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Client Travel Time [min],4,382.78000000000003,0.7669093818698441,381.93,383.82,887.5,845.0,937.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Calculation Time [millis],4,0.11499999999999999,0.0049999999999999975,0.11,0.12,5.0,4.0,6.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Simulation Time [millis],4,0.19,0.0,0.19,0.19,5.5,4.0,7.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Taxi Travel Distance [km],4,68.36,2.1063119427093397,66.41,71.66,504.605,463.87,533.31
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Client Waiting Time [min],4,21.055,0.6612299146287932,19.99,21.67,121.60499999999999,107.9,130.42
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Client Travel Time [min],4,1675.71,50.84261254105657,1608.77,1733.5,9159.25,7507.0,9914.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Calculation Time [millis],4,0.095,0.0050000000000000044,0.09,0.1,2.75,2.0,3.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Simulation Time [millis],4,0.1,0.0,0.1,0.1,2.75,2.0,3.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Taxi Travel Distance [km],4,79.72749999999999,0.6861623350199265,78.75,80.63,760.4449999999999,735.5300000000001,794.9699999999999
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Client Waiting Time [min],4,33.7175,0.864620581526948,32.83,35.05,207.14999999999998,203.04999999999998,214.04999999999998
