algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,SPATIAL_IMBALANCE,Calculation Time [millis],1,0.2,0.0,0.2,0.2,7.0,7.0,7.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,SPATIAL_IMBALANCE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,SPATIAL_ISLANDS,Taxi Travel Distance [km],1,140.73,0.0,140.73,140.73,413.22,413.22,413.22
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,SPATIAL_ISLANDS,Client Waiting Time [min],1,1.09,0.0,1.09,1.09,48.78,48.78,48.78
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,SPATIAL_ISLANDS,Client Travel Time [min],1,291.3,0.0,291.3,291.3,3109.0,3109.0,3109.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,SPATIAL_ISLANDS,Calculation Time [millis],1,0.16,0.0,0.16,0.16,4.0,4.0,4.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,SPATIAL_ISLANDS,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,1,false,none,none,BASELINE,Taxi Travel Distance [km],1,66.57,0.0,66.57,66.57,163.0,163.0,163.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,1,false,none,none,BASELINE,Client Waiting Time [min],1,9.98,0.0,9.98,9.98,116.96000000000001,116.96000000000001,116.96000000000001
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,1,false,none,none,BASELINE,Client Travel Time [min],1,973.54,0.0,973.54,973.54,7096.0,7096.0,7096.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,1,false,none,none,BASELINE,Calculation Time [millis],1,0.34,0.0,0.34,0.34,6.0,6.0,6.0
