algorithm,kHops,p2pRequestRepublishTicks,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_ISLANDS,Calculation Time [millis],1,0.24,0.0,0.24,0.24,28.0,28.0,28.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_ISLANDS,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,1000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_ISLANDS,Simulation Time [millis],1,0.34,0.0,0.34,0.34,28.0,28.0,28.0
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_ISLANDS,Taxi Travel Distance [km],1,215.01,0.0,215.01,215.01,973.24,973.24,973.24
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_ISLANDS,Client Waiting Time [min],1,45.4,0.0,45.4,45.4,166.59,166.59,166.59
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_ISLANDS,Client Travel Time [min],1,3279.18,0.0,3279.18,3279.18,10557.0,10557.0,10557.0
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_ISLANDS,Calculation Time [millis],1,190.79,0.0,190.79,190.79,494.0,494.0,494.0
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_ISLANDS,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,1000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_ISLANDS,Simulation Time [millis],1,191.74,0.0,191.74,191.74,496.0,496.0,496.0
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Taxi Travel Distance [km],1,116.49,0.0,116.49,116.49,346.53,346.53,346.53
