variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,5,1,1000,1,4,1,n/a,0.01,12812.788,42.472,46.307
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,5,1,5000,1,4,1,n/a,0.011,3745.0919999999996,31.302999999999997,133.09
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,5,1,10000,1,4,1,n/a,0.02,2519.1079999999997,23.967000000000002,148.068
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,5,1,20000,1,4,1,n/a,0.024,2322.444,25.356,160.73
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,10,1,1000,1,4,1,n/a,0.02,10054.291000000001,43.1605,54.6745
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,10,1,5000,1,4,1,n/a,0.033,2836.8419999999996,19.9945,105.35
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,10,1,10000,1,4,1,n/a,0.0445,2092.42,18.1995,114.33399999999999
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,10,1,20000,1,4,1,n/a,0.057999999999999996,1880.8939999999998,17.750999999999998,121.475
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,20,1,1000,1,4,1,n/a,0.0655,8810.3295,44.4675,67.0765
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,20,1,5000,1,4,1,n/a,0.15250000000000002,1901.7785,13.2875,112.62750000000001
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,20,1,10000,1,4,1,n/a,0.186,1690.3740000000003,13.35,115.39349999999999
P2PCollector+greedy (k=1),1,SPATIAL_ISLANDS,20,1,20000,1,4,1,n/a,0.20800000000000002,1830.5875,16.3435,123.0445
P2PCollector+greedy (k=2),2,BASELINE,5,1,1000,1,4,1,n/a,0.03,8955.728,125.332,543.223
P2PCollector+greedy (k=2),2,BASELINE,5,1,5000,1,4,1,n/a,0.03,3650.032,44.295,267.999
P2PCollector+greedy (k=2),2,BASELINE,5,1,10000,1,4,1,n/a,0.027999999999999997,2857.052,33.397000000000006,205.52599999999998
P2PCollector+greedy (k=2),2,BASELINE,5,1,20000,1,4,1,n/a,0.026000000000000002,2680.752,30.212,169.197
P2PCollector+greedy (k=2),2,BASELINE,10,1,1000,1,4,1,n/a,0.098,5682.777,78.0085,453.96450000000004
P2PCollector+greedy (k=2),2,BASELINE,10,1,5000,1,4,1,n/a,0.0805,2512.082,27.810000000000002,207.63600000000002
P2PCollector+greedy (k=2),2,BASELINE,10,1,10000,1,4,1,n/a,0.064,1987.563,18.5075,151.922
P2PCollector+greedy (k=2),2,BASELINE,10,1,20000,1,4,1,n/a,0.05550000000000001,2176.0080000000003,21.586000000000002,132.7745
P2PCollector+greedy (k=2),2,BASELINE,20,1,1000,1,4,1,n/a,0.34900000000000003,4056.2464999999997,53.650999999999996,356.566
P2PCollector+greedy (k=2),2,BASELINE,20,1,5000,1,4,1,n/a,0.28500000000000003,1977.577,18.294999999999998,178.10250000000002
P2PCollector+greedy (k=2),2,BASELINE,20,1,10000,1,4,1,n/a,0.20700000000000002,1786.5655,14.883500000000002,131.331
P2PCollector+greedy (k=2),2,BASELINE,20,1,20000,1,4,1,n/a,0.2065,2008.0215,18.5985,128.9475
P2PCollector+greedy (k=2),2,SPATIAL_IMBALANCE,5,1,1000,1,4,1,n/a,0.01,13469.168,28.756,40.867000000000004
P2PCollector+greedy (k=2),2,SPATIAL_IMBALANCE,5,1,5000,1,4,1,n/a,0.011,3692.1800000000003,28.814,139.38299999999998
P2PCollector+greedy (k=2),2,SPATIAL_IMBALANCE,5,1,10000,1,4,1,n/a,0.019,2311.92,23.276,152.625
P2PCollector+greedy (k=2),2,SPATIAL_IMBALANCE,5,1,20000,1,4,1,n/a,0.028000000000000004,2352.808,26.782,155.66500000000002
P2PCollector+greedy (k=2),2,SPATIAL_IMBALANCE,10,1,1000,1,4,1,n/a,0.02,12038.021,37.058499999999995,47.6975
P2PCollector+greedy (k=2),2,SPATIAL_IMBALANCE,10,1,5000,1,4,1,n/a,0.034499999999999996,2951.611,22.127000000000002,114.201
P2PCollector+greedy (k=2),2,SPATIAL_IMBALANCE,10,1,10000,1,4,1,n/a,0.054000000000000006,1823.7040000000002,15.9225,120.8335
P2PCollector+greedy (k=2),2,SPATIAL_IMBALANCE,10,1,20000,1,4,1,n/a,0.0735,1924.434,19.113999999999997,120.68900000000001
P2PCollector+greedy (k=2),2,SPATIAL_IMBALANCE,20,1,1000,1,4,1,n/a,0.063,9910.041500000001,50.7695,61.371
P2PCollector+greedy (k=2),2,SPATIAL_IMBALANCE,20,1,5000,1,4,1,n/a,0.1165,2275.0975,16.442,115.28099999999999
P2PCollector+greedy (k=2),2,SPATIAL_IMBALANCE,20,1,10000,1,4,1,n/a,0.2,1605.3635,13.4395,119.13050000000001
P2PCollector+greedy (k=2),2,SPATIAL_IMBALANCE,20,1,20000,1,4,1,n/a,0.286,1807.938,17.1935,121.8605
P2PCollector+greedy (k=2),2,SPATIAL_ISLANDS,5,1,1000,1,4,1,n/a,0.01,12812.788,42.472,46.307
P2PCollector+greedy (k=2),2,SPATIAL_ISLANDS,5,1,5000,1,4,1,n/a,0.01,3892.744,32.503,133.179
P2PCollector+greedy (k=2),2,SPATIAL_ISLANDS,5,1,10000,1,4,1,n/a,0.017,2545.208,26.025,152.22899999999998
P2PCollector+greedy (k=2),2,SPATIAL_ISLANDS,5,1,20000,1,4,1,n/a,0.02,2390.204,26.55,161.884
P2PCollector+greedy (k=2),2,SPATIAL_ISLANDS,10,1,1000,1,4,1,n/a,0.020999999999999998,10086.006,43.298,54.416
P2PCollector+greedy (k=2),2,SPATIAL_ISLANDS,10,1,5000,1,4,1,n/a,0.038,2690.85,21.048,108.50399999999999
P2PCollector+greedy (k=2),2,SPATIAL_ISLANDS,10,1,10000,1,4,1,n/a,0.051000000000000004,2018.9420000000002,17.6565,116.951
P2PCollector+greedy (k=2),2,SPATIAL_ISLANDS,10,1,20000,1,4,1,n/a,0.065,2065.8599999999997,20.8685,128.35049999999998
P2PCollector+greedy (k=2),2,SPATIAL_ISLANDS,20,1,1000,1,4,1,n/a,0.065,8805.278,44.5805,67.1365
P2PCollector+greedy (k=2),2,SPATIAL_ISLANDS,20,1,5000,1,4,1,n/a,0.148,1908.3145,13.327000000000002,113.88
P2PCollector+greedy (k=2),2,SPATIAL_ISLANDS,20,1,10000,1,4,1,n/a,0.188,1757.2904999999998,14.136500000000002,118.14649999999999
P2PCollector+greedy (k=2),2,SPATIAL_ISLANDS,20,1,20000,1,4,1,n/a,0.253,1947.275,18.3625,126.8925
P2PCollector+greedy (k=5),5,BASELINE,5,1,1000,1,4,1,n/a,0.03,8557.644,117.58900000000001,596.529
P2PCollector+greedy (k=5),5,BASELINE,5,1,5000,1,4,1,n/a,0.031,4255.008,56.488,314.26300000000003
P2PCollector+greedy (k=5),5,BASELINE,5,1,10000,1,4,1,n/a,0.025,2914.8720000000003,33.945,223.839
P2PCollector+greedy (k=5),5,BASELINE,5,1,20000,1,4,1,n/a,0.03,2860.584,33.438,176.949
P2PCollector+greedy (k=5),5,BASELINE,10,1,1000,1,4,1,n/a,0.099,5830.528,81.348,445.83599999999996
P2PCollector+greedy (k=5),5,BASELINE,10,1,5000,1,4,1,n/a,0.084,2622.042,29.137,234.2225
P2PCollector+greedy (k=5),5,BASELINE,10,1,10000,1,4,1,n/a,0.069,2100.8759999999997,20.445500000000003,154.745
P2PCollector+greedy (k=5),5,BASELINE,10,1,20000,1,4,1,n/a,0.065,2287.562,23.512,136.49349999999998
P2PCollector+greedy (k=5),5,BASELINE,20,1,1000,1,4,1,n/a,0.352,3929.5474999999997,50.6445,362.0845
P2PCollector+greedy (k=5),5,BASELINE,20,1,5000,1,4,1,n/a,0.28300000000000003,1992.898,18.5405,179.32999999999998
P2PCollector+greedy (k=5),5,BASELINE,20,1,10000,1,4,1,n/a,0.219,1917.0305,17.0565,137.639
P2PCollector+greedy (k=5),5,BASELINE,20,1,20000,1,4,1,n/a,0.27599999999999997,2220.191,22.176,136.043
P2PCollector+greedy (k=5),5,SPATIAL_IMBALANCE,5,1,1000,1,4,1,n/a,0.01,13469.168,28.756,40.867000000000004
P2PCollector+greedy (k=5),5,SPATIAL_IMBALANCE,5,1,5000,1,4,1,n/a,0.012,3803.2239999999997,29.540999999999997,138.597
P2PCollector+greedy (k=5),5,SPATIAL_IMBALANCE,5,1,10000,1,4,1,n/a,0.024,2352.856,23.471,153.06
P2PCollector+greedy (k=5),5,SPATIAL_IMBALANCE,5,1,20000,1,4,1,n/a,0.033,2427.5919999999996,28.07,157.743
P2PCollector+greedy (k=5),5,SPATIAL_IMBALANCE,10,1,1000,1,4,1,n/a,0.02,12038.023,37.058499999999995,47.6975
