metric,variant_k,spawnScenario,count,mean,median,std,min,max
Client Waiting Time [min],P2PCollector+greedy (k=0),BASELINE,200,34.486149999999995,24.055,27.819138141072255,6.78,140.8
Client Waiting Time [min],P2PCollector+greedy (k=0),SPATIAL_IMBALANCE,200,22.64895,17.75,17.030084978336035,2.42,88.52
Client Waiting Time [min],P2PCollector+greedy (k=0),SPATIAL_ISLANDS,200,23.822599999999998,18.735,18.37879180416668,3.78,113.1
Client Waiting Time [min],P2PCollector+greedy (k=1),BASELINE,200,36.73585,25.31,29.917217195137063,7.29,152.08
Client Waiting Time [min],P2PCollector+greedy (k=1),SPATIAL_IMBALANCE,200,23.952350000000003,19.765,16.448186073333897,2.42,88.52
Client Waiting Time [min],P2PCollector+greedy (k=1),SPATIAL_ISLANDS,200,24.8103,19.895,17.706079582474054,4.75,113.1
Client Waiting Time [min],P2PCollector+greedy (k=2),BASELINE,200,36.7958,27.495,29.51754969607574,7.97,156.48
Client Waiting Time [min],P2PCollector+greedy (k=2),SPATIAL_IMBALANCE,200,24.58805,20.83,16.375337986384935,2.42,88.52
Client Waiting Time [min],P2PCollector+greedy (k=2),SPATIAL_ISLANDS,200,25.70525,21.455,17.480527427202126,5.13,113.1
Client Waiting Time [min],P2PCollector+greedy (k=5),BASELINE,200,38.359,29.65,29.271717205191493,8.98,176.97
Client Waiting Time [min],P2PCollector+greedy (k=5),SPATIAL_IMBALANCE,200,25.523249999999997,21.85,16.19715220758509,2.42,88.52
Client Waiting Time [min],P2PCollector+greedy (k=5),SPATIAL_ISLANDS,200,27.070050000000002,23.415,17.29332108846777,5.96,113.1
Client Waiting Time [min],P2PCollector+nearest (k=0),BASELINE,200,35.605850000000004,24.4,30.19997878926174,5.16,158.14
Client Waiting Time [min],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,200,22.641350000000003,17.75,17.03934208149926,2.42,88.52
Client Waiting Time [min],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,200,23.824099999999998,18.735,18.37727114299935,3.78,113.1
Client Waiting Time [min],P2PCollector+nearest (k=1),BASELINE,200,36.481,25.630000000000003,30.011797948147024,7.91,146.8
Client Waiting Time [min],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,200,23.852600000000002,20.17,16.456377060879745,2.42,88.52
Client Waiting Time [min],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,200,24.729,20.0,17.710723577771784,4.75,113.1
Client Waiting Time [min],P2PCollector+nearest (k=2),BASELINE,200,36.433,27.485,27.100830746227654,7.6,130.38
Client Waiting Time [min],P2PCollector+nearest (k=2),SPATIAL_IMBALANCE,200,24.527600000000003,20.875,16.45879564275741,2.42,88.52
Client Waiting Time [min],P2PCollector+nearest (k=2),SPATIAL_ISLANDS,200,25.6717,20.925,17.494105026074255,5.13,113.1
Client Waiting Time [min],P2PCollector+nearest (k=5),BASELINE,200,37.99295,28.54,30.214629485935486,7.61,207.22
Client Waiting Time [min],P2PCollector+nearest (k=5),SPATIAL_IMBALANCE,200,25.3596,22.060000000000002,16.200711996265152,2.42,88.52
Client Waiting Time [min],P2PCollector+nearest (k=5),SPATIAL_ISLANDS,200,27.094549999999998,23.53,17.306965362181167,5.96,113.1
Client Waiting Time [min],SinglePassenger,BASELINE,50,24.523600000000002,29.685000000000002,14.563538306332015,5.18,49.49
Client Waiting Time [min],SinglePassenger,SPATIAL_IMBALANCE,50,20.551199999999998,24.285,10.694075918708545,6.07,39.9
Client Waiting Time [min],SinglePassenger,SPATIAL_ISLANDS,50,21.598000000000003,24.315,11.214284440400293,6.35,38.79
Client Waiting Time [min],VehicleRouting,BASELINE,50,20.290399999999998,20.450000000000003,5.336159652478056,11.29,30.74
Client Waiting Time [min],VehicleRouting,SPATIAL_IMBALANCE,50,19.0788,19.485,4.353758235767138,12.54,28.86
Client Waiting Time [min],VehicleRouting,SPATIAL_ISLANDS,50,20.4492,20.67,4.399407121466274,11.09,30.96
Taxi Travel Distance [km],P2PCollector+greedy (k=0),BASELINE,200,235.05715,183.575,128.82949559418748,90.83,739.35
Taxi Travel Distance [km],P2PCollector+greedy (k=0),SPATIAL_IMBALANCE,200,104.62815,93.42,42.67016717698749,18.73,178.82
