variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,1000,1,4,0,return-to-hq,0.23,751.49,8.85,90.69
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,1000,1,4,1,none,0.33,2270.01,30.94,34.98
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,1000,1,4,1,past-avg,0.36,276.75,1.26,146.35
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,1000,1,4,1,return-to-hq,0.42,752.57,8.87,90.68
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,2000,1,4,0,none,0.2,1108.15,14.65,67.17
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,2000,1,4,0,past-avg,0.07,279.72,1.32,116.44
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,2000,1,4,0,return-to-hq,0.26,371.97,2.91,108.43
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,2000,1,4,1,none,0.32,1104.44,14.74,67.36
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,2000,1,4,1,past-avg,0.18,283.45,1.38,117.08
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,2000,1,4,1,return-to-hq,0.39,380.07,3.05,109.66
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,1000,1,4,0,none,0.24,3155.82,40.25,28.34
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,1000,1,4,0,past-avg,0.17,291.51,1.08,146.54
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,1000,1,4,0,return-to-hq,0.23,469.45,3.2,102.85
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,1000,1,4,1,none,0.41,3147.31,40.07,28.02
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,1000,1,4,1,past-avg,0.31,293.8,1.12,154.22
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,1000,1,4,1,return-to-hq,0.39,463.63,3.11,103.54
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,2000,1,4,0,none,0.21,1806.25,22.08,62.14
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,2000,1,4,0,past-avg,0.05,308.41,1.37,127.55
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,2000,1,4,0,return-to-hq,0.08,303.3,1.29,112.14
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,2000,1,4,1,none,0.32,1653.81,20.32,67.02
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,2000,1,4,1,past-avg,0.07,315.1,1.48,125.6
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,2000,1,4,1,return-to-hq,0.13,312.55,1.43,112.26
SinglePassenger,0,BASELINE,60,1,-1,-1,-1,-1,nan,0.0,282.62,0.83,83.36
SinglePassenger,0,RUSH_HOUR,60,1,-1,-1,-1,-1,nan,0.0,282.01,0.77,83.15
SinglePassenger,0,SPATIAL_IMBALANCE,60,1,-1,-1,-1,-1,nan,0.0,294.33,1.55,86.75
SinglePassenger,0,SPATIAL_ISLANDS,60,1,-1,-1,-1,-1,nan,0.0,339.88,1.89,100.3
VehicleRouting,0,BASELINE,60,1,-1,-1,-1,-1,nan,0.78,300.53,3.06,84.46
VehicleRouting,0,RUSH_HOUR,60,1,-1,-1,-1,-1,nan,2.3,317.99,3.49,83.45
VehicleRouting,0,SPATIAL_IMBALANCE,60,1,-1,-1,-1,-1,nan,1.06,337.48,3.53,90.29
VehicleRouting,0,SPATIAL_ISLANDS,60,1,-1,-1,-1,-1,nan,1.5,415.65,4.59,104.08
