metric,taxiCount,clientCount,spawnScenario,factor,level,count,mean,std,min,max,note
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,idleRoamingMode,none,720,7.9929041666666665,2.1509967629572166,6.041,16.569,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,idleRoamingMode,past-avg,720,4.309701388888889,1.0157573048531148,2.936,6.617,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,idleRoamingMode,past-avg-revisit,720,8.077486111111112,1.7742344051517966,6.326,15.166,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,idleRoamingMode,past-avg-total,720,4.408448611111111,1.0426337719135352,2.969,6.735,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,idleRoamingMode,random,720,8.699868055555555,1.5454396192606916,6.671,14.257,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,kHops,0,1200,7.354220833333334,0.5691439018826263,6.053,9.158,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,kHops,1,1200,8.492899166666666,1.1354600170009554,6.067,11.978,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,kHops,2,1200,10.637659999999999,3.1652950075473223,6.886,24.831,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,p2pRqsRadius,1000,1200,7.720800833333333,0.7410250296569768,6.053,9.826,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,p2pRqsRadius,2000,1200,8.438555833333334,1.299677212206654,6.172,12.578,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,p2pRqsRadius,3000,1200,10.325423333333333,3.3667460202337103,6.268,24.831,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,p2pStrategy,greedy,1800,8.866993333333333,2.4157567289790487,6.053,24.831,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,p2pStrategy,nearest,1800,8.789526666666665,2.3710766079053336,6.067,22.911,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,p2pOverlayShortcuts,0,1800,8.679794444444443,1.8715063145661683,6.053,14.68,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,p2pOverlayShortcuts,1,1800,8.976725555555555,2.813226374058417,6.102,24.831,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,idleRoamingMode,none,720,9.475116666666667,3.4701401823038895,6.924,24.831,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,idleRoamingMode,past-avg,720,8.060575,1.6387928407506815,6.053,13.688,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,idleRoamingMode,past-avg-revisit,720,9.450205555555556,2.4003007813312087,7.282,18.962,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,idleRoamingMode,past-avg-total,720,7.982537499999999,1.4921990889234602,6.067,13.649,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_ISLANDS,idleRoamingMode,random,720,9.172865277777777,1.931018362537272,6.545,15.088,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,kHops,0,1200,11.262952444444444,1.284874755020469,9.351883333333335,15.344383333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,kHops,1,1200,11.265149194444446,1.271848130606484,9.459583333333335,15.344383333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,kHops,2,1200,11.269704305555557,1.2734319256154263,9.459583333333335,15.344383333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,p2pRqsRadius,1000,1200,11.59905036111111,2.023494895042384,9.351883333333335,15.344383333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,p2pRqsRadius,2000,1200,10.569734305555556,0.21993843617909262,10.237416666666666,11.086383333333334,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,p2pRqsRadius,3000,1200,11.629021277777777,0.13838085716301074,11.37895,11.904083333333334,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,p2pStrategy,greedy,1800,11.265935314814815,1.2765571252588936,9.351883333333335,15.344383333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,p2pStrategy,nearest,1800,11.265935314814815,1.2765571252588939,9.351883333333335,15.344383333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,p2pOverlayShortcuts,0,1800,11.269006259259259,1.2823834235916132,9.351883333333335,15.344383333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
