algorithm,kHops,p2pRequestRepublishTicks,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_IMBALANCE,Simulation Time [millis],4,3.9699999999999998,0.041231056256176644,3.94,4.04,22.25,12.0,37.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Taxi Travel Distance [km],4,29315.1325,2824.3229729386044,26036.46,33720.05,95330.9625,76143.37,110997.66
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Client Waiting Time [min],4,1754.605,139.41201338120038,1629.94,1985.5,5640.5,5361.0,6058.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Client Travel Time [min],4,2332.5550000000003,144.81544418673028,2140.84,2539.92,6439.5,5653.0,6791.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Calculation Time [millis],4,0.02,0.0,0.02,0.02,2.0,2.0,2.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Simulation Time [millis],4,0.02,0.0,0.02,0.02,2.0,2.0,2.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Taxi Travel Distance [km],4,53026.14,553.3990318929007,52345.41,53843.37,396028.40750000003,374052.21,432174.33
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Client Waiting Time [min],4,9223.5475,47.98994497548422,9140.65,9254.57,27321.5,27084.0,27580.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Client Travel Time [min],4,11112.012499999999,52.58310535476204,11046.6,11183.95,27458.0,27239.0,27605.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Calculation Time [millis],4,4.2775,0.039607448794387004,4.23,4.34,18.0,13.0,29.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,SPATIAL_ISLANDS,Simulation Time [millis],4,4.755,0.042720018726587705,4.7,4.82,19.25,14.0,30.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,BASELINE,Taxi Travel Distance [km],4,267624.1325,8742.040953202439,253737.38,276839.61,86780.19750000001,65752.82000000004,101012.39999999997
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,BASELINE,Client Waiting Time [min],4,119.4875,2.5146707040883105,116.26,122.54,1121.5,637.0,1328.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,BASELINE,Client Travel Time [min],4,585.0949999999999,7.9430173737692416,571.41,590.92,1620.25,1371.0,1901.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,BASELINE,Calculation Time [millis],4,0.01,0.0,0.01,0.01,3.0,3.0,3.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,BASELINE,Simulation Time [millis],4,0.01,0.0,0.01,0.01,3.0,3.0,3.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,BASELINE,Taxi Travel Distance [km],4,678678.885,1334.0355366049955,677206.32,680498.21,49501.734999999986,47826.439999999944,51203.15000000002
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,BASELINE,Client Waiting Time [min],4,86.155,0.21800229356591583,85.92,86.5,1053.5,665.0,1716.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,BASELINE,Client Travel Time [min],4,1975.1225,6.790660406028265,1969.27,1986.48,4883.0,4803.0,4957.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,BASELINE,Calculation Time [millis],4,1.8675,0.04205650960315174,1.82,1.93,29.25,27.0,32.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,BASELINE,Simulation Time [millis],4,2.3975,0.05760859310901462,2.32,2.48,30.5,28.0,33.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,RUSH_HOUR,Taxi Travel Distance [km],4,227453.0825,9486.685732705531,211322.0,235509.58,53662.67250000001,48407.41,63318.0
